day_policy,window,description,n,annual_freq,ytd2026,ev,pf,wr,totalR,maxDD,pos_years,old_pf,old_ev,recent_pf,recent_ev
MonThu,LON_OPEN,08:00 London decision / 07-08 signal,932,64.42857142857143,30,0.15426911357025538,1.345935217277768,0.4989270386266094,143.778813847478,17.470959580200656,12,1.2297069713865183,0.10722358849736761,1.6537896777338443,0.2581098605237545
MonThu,LON_H1,09:00 London decision / 08-09 signal,901,62.0,33,0.06764753781946702,1.1520657861622254,0.4583795782463929,60.95043157533978,17.575885759892277,10,1.0505330784110953,0.023259688930866686,1.3555723579557306,0.1486624212644251
MonThu,LON_H2,10:00 London decision / 09-10 signal,910,62.714285714285715,32,-0.013688911545976097,0.9707368286447471,0.44065934065934065,-12.45690950683825,29.37165524622879,6,0.9443723542807302,-0.02651018568669934,0.9547263528704517,-0.021781898093329068
MonThu,LON_H3,11:00 London decision / 10-11 signal,933,64.21428571428571,34,-0.040478157304706955,0.9070242922602711,0.44587352625937837,-37.76612076529159,44.94007784520672,5,0.8455456616247959,-0.0690887622510485,0.8756026376638691,-0.05500797546796595
MonThu,NY_OPEN,08:00 New York decision / 07-08 signal,1044,71.42857142857143,44,-0.004954711037557195,0.9876256263786428,0.47413793103448276,-5.172718323209711,39.61963258554091,6,1.182838000986786,0.06743626291355274,0.9314374544767808,-0.028350929318886154
MonThu,NY_H1,09:00 New York decision / 08-09 signal,1024,70.0,44,-0.019200172104638667,0.9481783427202762,0.4541015625,-19.660976235149995,34.479406353132276,7,0.94752193101134,-0.018663931854197256,0.8873158058418408,-0.04355866165554958
MonThu,NY_H2,10:00 New York decision / 09-10 signal,1076,73.71428571428571,44,0.0005504860890321525,1.0017465837955606,0.47304832713754646,0.5923230317985961,33.1328342851577,6,1.016660699353544,0.004947451251568657,1.2240962156993513,0.06582065707968131
MonFri,LON_OPEN,08:00 London decision / 07-08 signal,1166,80.57142857142857,38,0.11899031288921577,1.2574610684624954,0.4854202401372213,138.7427048288256,23.573643715221948,13,1.2339251322373517,0.11128156294304711,1.4654332732175168,0.1958619113310275
MonFri,LON_H1,09:00 London decision / 08-09 signal,1120,76.78571428571429,45,0.06011085177924235,1.1349959075188374,0.45357142857142857,67.32415399275143,18.986572363389044,10,1.072005764990505,0.03272541991653753,1.3211988070333107,0.13356256894828128
MonFri,LON_H2,10:00 London decision / 09-10 signal,1126,77.35714285714286,43,-0.02483350987463737,0.9479090483518108,0.4325044404973357,-27.96253211884168,39.32415050504477,7,0.9200584305805874,-0.038733104818273745,0.9729997000504189,-0.01295751904360498
MonFri,LON_H3,11:00 London decision / 10-11 signal,1177,81.28571428571429,39,-0.016352812951813168,0.9622695050323734,0.45284621920135937,-19.2472608442841,36.013420533546636,5,0.9541312327783567,-0.020036625178607798,0.9181556371253624,-0.035923312975800384
MonFri,NY_OPEN,08:00 New York decision / 07-08 signal,1318,90.21428571428571,55,0.0025275307267762317,1.0061969054243418,0.47344461305007585,3.3312854978910735,32.4934448007632,8,1.155735404241961,0.059724032909073146,0.8904845944242223,-0.04682181981710646
MonFri,NY_H1,09:00 New York decision / 08-09 signal,1274,87.28571428571429,52,0.003963039217203205,1.0110074173392065,0.47095761381475665,5.048911962716883,29.311074560406453,8,1.0080955342126592,0.0027967361803230254,0.8797540669854998,-0.04658344565616812
MonFri,NY_H2,10:00 New York decision / 09-10 signal,1350,92.64285714285714,53,-0.0061367647080227605,0.9807182933436456,0.4696296296296296,-8.284632355830727,36.85643334522462,6,0.9903521921191387,-0.0028850617759924326,1.1253082749210024,0.03899963410654465
