mode,trades,payouts,breaches,accounts_used,gross_paid,user_paid,ending_balance,ending_floor,ending_cycle_profit,ending_profitable_days,ending_best_day,ending_consistency
custom,92,1,1,2,12981.059016364772,10384.847213091818,208907.24913055747,188000.0,8907.249130557466,10,2400.0,0.2694434572135735
official,92,1,1,2,12981.059016364772,10384.847213091818,208907.24913055747,196907.24913055747,8907.249130557466,10,2400.0,0.2694434572135735
