label,account,date,gross_profit,user_payout,profitable_days,best_day,consistency,balance_before,floor_before
OFFICIAL_CONTINUOUS_TRAIL_LONDON_ACCOUNT,2,2026-06-22,19457.99335661455,15566.39468529164,25,3750.0,0.19272285334218317,69457.99335661455,50000.0
CUSTOM_FIXED6_UNTIL_PAYOUT_LONDON_ACCOUNT,2,2026-06-03,19204.86310245232,15363.890481961856,22,3750.0,0.19526304249058418,69204.86310245232,47000.0
