mode,trades,payouts,breaches,accounts_used,gross_requested,user_paid,ending_balance,ending_floor,ending_cycle_base,ending_cycle_profit,ending_profitable_days,ending_best_day,ending_consistency
custom,92,1,0,1,8981.059016364772,7184.847213091818,212900.57184226532,200000.0,204000.0,8900.571842265315,11,2400.0,0.26964559609567373
official,92,1,0,1,8981.059016364772,7184.847213091818,212900.57184226532,200000.0,204000.0,8900.571842265315,11,2400.0,0.26964559609567373
