mode,account,date,gross_profit,user_payout,profitable_days,best_day,consistency,balance_before,floor_before
custom,1,2026-06-03,12981.059016364772,10384.847213091818,21,2400.0,0.18488476148012292,212981.05901636477,188000.0
official,1,2026-06-03,12981.059016364772,10384.847213091818,21,2400.0,0.18488476148012292,212981.05901636477,200000.0
