filter,sl_atr,rr,period,trades,wr,pf,ev,ev_comm,ev_stress,total,maxdd,positive_years,years
NONE,1.0,1.0,TRAIN_2012_2021,440,0.26136363636363635,0.35384615384615387,-0.4772727272727273,-0.5114645533259673,-0.5285604663525872,-210.0,212.0,0,10
NONE,1.0,1.0,OOS_2022_2026,197,0.17766497461928935,0.21604938271604937,-0.6446700507614214,-0.6825955418595433,-0.7015582874086042,-127.0,127.0,0,5
NONE,1.0,1.0,YTD_2026,28,0.14285714285714285,0.16666666666666666,-0.7142857142857143,-0.7545592005730787,-0.774695943716761,-20.0,20.0,0,1
NONE,1.0,1.0,FULL_2012_2026,637,0.23547880690737832,0.3080082135523614,-0.5290423861852434,-0.5643888935788943,-0.5820621472757196,-337.0,338.0,0,15
NONE,1.25,0.2,TRAIN_2012_2021,440,0.575,0.27058823529411763,-0.30999999999999994,-0.337353460842592,-0.351030191263888,-136.39999999999998,136.79999999999964,0,10
NONE,1.25,0.2,OOS_2022_2026,197,0.5736040609137056,0.2690476190476191,-0.31167512690355326,-0.3420155197820508,-0.3571857162212996,-61.39999999999999,61.39999999999987,0,5
NONE,1.25,0.2,YTD_2026,28,0.6071428571428571,0.30909090909090914,-0.2714285714285714,-0.3036473604584629,-0.31975675497340866,-7.6,7.799999999999999,0,1
NONE,1.25,0.2,FULL_2012_2026,637,0.5745682888540031,0.270110701107011,-0.31051805337519617,-0.338795259290117,-0.35293386224757733,-197.79999999999995,198.00000000000094,0,15
NONE,1.25,0.25,TRAIN_2012_2021,440,0.5636363636363636,0.3229166666666667,-0.29545454545454547,-0.3228080062971375,-0.33648473671843343,-130.0,130.5,0,10
NONE,1.25,0.25,OOS_2022_2026,197,0.5634517766497462,0.3226744186046512,-0.2956852791878173,-0.3260256720663148,-0.34119586850556355,-58.25,58.25,0,5
NONE,1.25,0.25,YTD_2026,28,0.5714285714285714,0.3333333333333333,-0.2857142857142857,-0.3179330747441772,-0.3340424692591229,-8.0,8.5,0,1
NONE,1.25,0.25,FULL_2012_2026,637,0.5635792778649922,0.322841726618705,-0.29552590266875983,-0.32380310858368055,-0.3379417115411409,-188.25,188.5,0,15
