day_policy,year,trades,totalR,ev,pf,wr,maxDD_R
MonThu,2012,178,-5.0984078970468705,-0.028642740994645338,0.9348442868598851,0.449438202247191,23.188712247559316
MonThu,2013,176,2.6410031861732204,0.015005699921438753,1.034500373778006,0.4375,16.113813192194787
MonThu,2014,163,12.774367794583792,0.07837035456799872,1.187453299028518,0.4662576687116564,13.497338497544819
MonThu,2015,191,12.67367273826309,0.06635430753017324,1.1659511038916492,0.47643979057591623,10.903662776149718
MonThu,2016,199,3.7272315121139084,0.018729806593537228,1.039989190677632,0.45226130653266333,11.608252314350144
MonThu,2017,212,9.594183244122032,0.04525558134019826,1.1071909312460462,0.4811320754716981,10.023575472712903
MonThu,2018,217,11.055116332065236,0.05094523655329602,1.1189564506808638,0.47465437788018433,20.52415550686684
MonThu,2019,192,5.188791526745975,0.02702495586846862,1.0609512682397444,0.4270833333333333,13.976761118267598
MonThu,2020,215,9.227594588299542,0.042919044596742055,1.101192601006389,0.4697674418604651,16.098077462355228
MonThu,2021,216,21.174641066236347,0.09803074567702012,1.2462853129776816,0.4861111111111111,9.803923839555994
MonThu,2022,185,34.46227996983552,0.18628259443154335,1.4865444485825503,0.5081081081081081,7.0
MonThu,2023,189,34.19133250545567,0.18090652119288714,1.4869296297814527,0.5502645502645502,6.460146026815687
MonThu,2024,205,-1.2333036678420477,-0.006016115452888038,0.9868503044483447,0.4146341463414634,18.54132777711986
MonThu,2025,212,20.631846789320164,0.09732003202509512,1.2429938194429637,0.4669811320754717,11.059768667462683
MonThu,2026,107,14.057919499342221,0.13138242522749738,1.3619951471648093,0.5046728971962616,4.7083391345222925
MonFri,2012,237,13.237486786894632,0.05585437462824739,1.1369355470581992,0.48523206751054854,18.11552051553053
MonFri,2013,218,7.384936154471044,0.03387585391959194,1.0794955807819009,0.44954128440366975,17.88249991228094
MonFri,2014,204,13.38483932903299,0.06561195749525976,1.1568337812638452,0.46568627450980393,16.541670928302743
MonFri,2015,239,6.347244726652318,0.026557509316536894,1.0621266066469188,0.4602510460251046,13.326459145870487
MonFri,2016,239,13.724493811062906,0.05742466029733433,1.1321014649683694,0.47280334728033474,11.18149406764083
MonFri,2017,261,8.029402200638991,0.030763993105896517,1.0715377105961303,0.4789272030651341,13.711008913834586
MonFri,2018,280,13.43535857274503,0.0479834234740894,1.1114954476079488,0.48214285714285715,20.260541247232602
MonFri,2019,238,9.246463163999028,0.038850685563021126,1.0875342689187644,0.44537815126050423,15.92988845231946
MonFri,2020,265,3.182312812939175,0.012008727595996888,1.0278596195397578,0.45660377358490567,15.99995063700092
MonFri,2021,277,25.060990810117197,0.09047289101125341,1.219962770859611,0.4729241877256318,11.088632449597192
MonFri,2022,231,41.06193063024224,0.1777572754555941,1.457629110056933,0.5064935064935064,6.286408061415546
MonFri,2023,237,29.196605989058483,0.1231924303335801,1.3125256588580303,0.5232067510548524,14.300041909180674
MonFri,2024,247,-5.075261506767941,-0.020547617436307453,0.9550641288667865,0.41700404858299595,18.519136694050903
MonFri,2025,252,21.463016660433773,0.08517070103346736,1.2159177035239046,0.4603174603174603,9.552267390994029
MonFri,2026,135,11.43595064277406,0.08471074550203007,1.2146322416816422,0.48148148148148145,5.009576739557459
