setup,source_trades_used,payouts,breaches,accounts_used,user_payout_usd,account_cost_usd,net_cash_usd,avg_days_between_portfolio_payouts,median_days_between_portfolio_payouts,first_portfolio_payout_date,first_portfolio_payout_days_from_start
3x25k_roundrobin_all_triggered,3560,60,148,151,260325.79388464562,28539.0,231786.79388464562,88.49152542372882,74.0,2012-03-16,75
1x25k_first_trade_per_day,2351,46,90,91,199274.17649643216,17199.0,182075.17649643216,111.93333333333334,104.0,2012-09-07,250
