priority,slot,family,sl,rr,trades_full,trades_2026,ev_comm_full,ev_stress_full
1,LON_H1,RISE_CANDLE,2.25,1.5,422,19,0.028908005963781035,0.021627704102349706
2,LON_H2,RANGE_DI_CONT_G5,2.0,0.3,173,10,0.05466670693185982,0.04687869179209671
