account,start_date,first_payout_date,first_payout_days,payout_count,user_payout_total_200k,breach_date,status,success,failed_before_payout
67,2022-02-24,2022-05-24,89.0,1,36210.191408264545,2022-05-30,breached_after_payout,True,False
68,2022-05-30,2022-07-28,59.0,2,71719.79912971414,2022-08-23,breached_after_payout,True,False
69,2022-08-23,,,0,0.0,2022-09-13,breached_before_payout,False,True
70,2022-09-13,2022-11-03,51.0,1,32620.134288150028,2022-12-06,breached_after_payout,True,False
71,2022-12-06,,,0,0.0,2023-01-31,breached_before_payout,False,True
72,2023-01-31,,,0,0.0,2023-02-15,breached_before_payout,False,True
73,2023-02-15,,,0,0.0,2023-02-21,breached_before_payout,False,True
74,2023-02-21,2023-05-04,72.0,1,34809.76346097149,2023-05-08,breached_after_payout,True,False
75,2023-05-08,2023-06-27,50.0,2,71122.26070018181,2023-11-07,breached_after_payout,True,False
76,2023-11-07,2024-01-05,59.0,1,33791.81356528502,2024-01-11,breached_after_payout,True,False
77,2024-01-11,,,0,0.0,2024-02-16,breached_before_payout,False,True
78,2024-02-16,,,0,0.0,2024-04-30,breached_before_payout,False,True
79,2024-04-30,,,0,0.0,2024-05-10,breached_before_payout,False,True
80,2024-05-10,2024-06-14,35.0,2,65966.98008556978,2024-07-31,breached_after_payout,True,False
81,2024-07-31,,,0,0.0,2024-09-03,breached_before_payout,False,True
82,2024-09-03,,,0,0.0,2024-10-16,breached_before_payout,False,True
83,2024-10-16,,,0,0.0,2024-11-04,breached_before_payout,False,True
84,2024-11-04,2024-11-27,23.0,1,35423.82313334313,2024-11-29,breached_after_payout,True,False
85,2024-11-29,,,0,0.0,2024-12-18,breached_before_payout,False,True
86,2024-12-18,,,0,0.0,2025-02-18,breached_before_payout,False,True
87,2025-02-18,2025-03-11,21.0,1,33483.696175930185,2025-03-12,breached_after_payout,True,False
88,2025-03-12,2025-08-22,163.0,1,32605.72005719971,2025-08-27,breached_after_payout,True,False
89,2025-08-27,2026-02-09,166.0,1,33004.19390295052,2026-02-11,breached_after_payout,True,False
90,2026-02-11,2026-06-23,132.0,1,37225.27756797827,2026-06-24,breached_after_payout,True,False
91,2026-06-24,,,0,0.0,,active,False,False
