slot,family,sl,rr,n_train,evc_train,evs_train,n_oos,evc_oos,evs_oos,n_2026,evc_2026,evs_2026,n_full,evc_full,evs_full,pf_full,days_full,robust_score,freq_score
LON_H1,EXPAND_BODY60,1.5,1.5,260,0.006189948776844136,-0.00411811057802536,121,0.0709561343437234,0.06014003054278947,11,0.33929826594745144,0.3271292171029953,381,0.02675873736895014,0.01628933056533053,1.0884086079222035,381,0.12082297998577322,23.034114899928866
LON_H1,EXPAND_BODY60,2.5,1.5,260,0.028478288803623134,0.022293453190701445,121,0.001942360028813293,-0.004547302251747056,11,0.46361218338019033,0.4563107540735167,381,0.02005086785414284,0.013769223771971071,1.0778180399462276,381,0.037913355238801155,22.619566776194006
LON_H1,EXPAND_BODY60,2.25,1.0,260,0.000883897058151441,-0.005988142511761573,121,0.025500858368514477,0.01829012250122522,11,0.4383200560861797,0.43020735685654243,381,0.008701882146219494,0.0017222776104730722,1.053597963689521,381,0.0172529822808911,22.516264911404456
LON_H1,RANGE_DI_CONT_G5,2.5,1.5,215,0.01543796297624399,0.009099041195711107,96,0.032096463098058796,0.02541267260759525,9,0.16077032973827393,0.15397634339987346,311,0.020580136647286498,0.014134760216742868,1.0790001329168646,311,0.2722514425419611,19.691257212709804
LON_H2,RANGE_DI_CONT_G5,1.5,0.4,172,0.030041671435245165,0.020062507152867736,71,0.04197523099252605,0.030568480291605967,10,0.09812845236324867,0.08719267854487307,243,0.03352843163510913,0.02313215362550319,1.2199999999999998,243,0.46830331143121734,19.631516557156086
LON_H1,RANGE_DI_CONT_G5,2.25,1.5,215,0.012115071919161448,0.005071825496347117,96,0.007721177313515462,0.00029474343522262886,9,0.17021462757336406,0.16266575386403032,311,0.010758757185585815,0.003597227818315102,1.0545355104301535,311,0.13616444507358724,19.010822225367935
LON_H1,DI_CONT_A20_G5,3.0,0.6,175,0.016257571159768835,0.011188824481265043,80,0.08523707217027335,0.07959308284942135,10,0.01727684745836643,0.011643517811300375,255,0.037898198927770244,0.03264898396931408,1.1701016831954356,255,0.25961259234446155,18.948062961722307
LON_H1,DI_CONT_A20_G5,3.0,0.4,175,0.015965331956109056,0.010896585277605281,80,0.1312570000790191,0.12561301075816708,10,0.05726796141800792,0.051634631770941866,255,0.0521352670534926,0.046886052095036435,1.2920351897490976,255,0.2549459064969136,18.924729532484566
LON_H1,DI_CONT_A20_G5,2.0,0.6,175,0.01231040191463107,0.004707281896875398,80,0.13447655083381663,0.12601056685253859,10,0.10310001105880184,0.09465001658820278,255,0.05063703686966968,0.04276321443198543,1.2054906770706342,255,0.19658135415505928,18.632906770775296
LON_H1,RANGE_DI_CONT_G5,2.5,0.3,215,0.0031369813072889725,-0.0032019404732439374,96,0.1317683823106937,0.12508459182023016,9,0.14196758287875472,0.13517359654035432,311,0.04284313724403126,0.03639776081348763,1.3053413611865876,311,0.0553212679322267,18.60660633966113
