buffer,trades,payouts,breaches,accounts_used,gross_requested,user_paid,ending_balance,ending_floor,ending_cycle_base,ending_cycle_profit,ending_profitable_days,ending_best_day,ending_consistency
0.0,1084,19,18,19,249551.17134398362,199640.9370751869,200000.0,200000.0,200000.0,0.0,0,0.0,inf
4000.0,1084,19,9,10,200660.554315188,160528.44345215042,214364.24365436862,200000.0,204000.0,10364.24365436862,13,2400.0,0.2315653780474737
