buffer,account,date,year,gross_requested,user_payout,profitable_days,best_day,consistency,balance_before,floor_before,balance_after
0.0,1,2020-09-29,2020,13437.400118051475,10749.92009444118,46,2400.0,0.17860597875446893,213437.40011805148,188000.0,200000.0
0.0,1,2020-10-29,2020,12776.276171135047,10221.020936908038,5,2400.0,0.18784816231682816,212776.27617113505,200000.0,200000.0
0.0,2,2021-02-24,2021,14052.781072469079,11242.224857975263,22,2400.0,0.17078470002652074,214052.78107246908,188000.0,200000.0
0.0,3,2021-04-01,2021,12390.017627789319,9912.014102231456,7,2400.0,0.1937043248927337,212390.01762778932,188000.0,200000.0
0.0,4,2021-07-08,2021,13415.192061156064,10732.153648924852,19,2400.0,0.17890165038704472,213415.19206115606,188000.0,200000.0
0.0,5,2021-12-03,2021,13332.966860724322,10666.373488579458,21,2400.0,0.18000494751620635,213332.96686072432,188000.0,200000.0
0.0,6,2022-05-20,2022,12789.194071264035,10231.35525701123,33,2400.0,0.18765842371510694,212789.19407126404,188000.0,200000.0
0.0,6,2022-07-20,2022,14335.888651581306,11468.710921265047,9,2400.0,0.16741201458308413,214335.8886515813,200000.0,200000.0
0.0,7,2022-08-09,2022,13226.686390937539,10581.349112750031,6,2400.0,0.18145134231385388,213226.68639093754,188000.0,200000.0
0.0,8,2022-11-04,2022,12283.893067792727,9827.114454234183,12,2400.0,0.19537779975410124,212283.89306779273,188000.0,200000.0
0.0,10,2023-05-09,2023,12092.504985545005,9674.003988436005,13,2400.0,0.19847004428519016,212092.504985545,188000.0,200000.0
0.0,11,2023-06-28,2023,13083.235999587341,10466.588799669873,10,2400.0,0.18344085515813507,213083.23599958734,188000.0,200000.0
0.0,12,2023-11-24,2023,12291.312821354746,9833.050257083798,18,2400.0,0.19525985831475018,212291.31282135475,188000.0,200000.0
0.0,13,2024-01-29,2024,12694.231021652318,10155.384817321856,11,2400.0,0.18906225953398545,212694.23102165232,188000.0,200000.0
0.0,15,2024-06-26,2024,13132.954097061913,10506.36327764953,9,2400.0,0.18274639371022586,213132.9540970619,188000.0,200000.0
0.0,16,2025-03-14,2025,12743.141464400309,10194.513171520248,34,2400.0,0.18833660496548085,212743.1414644003,188000.0,200000.0
0.0,17,2025-09-08,2025,12931.373592516553,10345.098874013243,25,2400.0,0.18559513286267526,212931.37359251655,188000.0,200000.0
0.0,18,2026-04-21,2026,14193.25187585337,11354.601500682696,34,2400.0,0.16909444156931092,214193.25187585337,188000.0,200000.0
0.0,19,2026-08-07,2026,14348.869393111148,11479.09551448892,17,2400.0,0.16726056487434704,214348.86939311115,188000.0,200000.0
4000.0,1,2020-09-29,2020,9437.400118051475,7549.9200944411805,46,2400.0,0.17860597875446893,213437.40011805148,188000.0,204000.0
4000.0,1,2020-10-29,2020,12776.276171135047,10221.020936908038,5,2400.0,0.18784816231682816,216776.27617113505,200000.0,204000.0
4000.0,1,2021-02-24,2021,12452.781072469079,9962.224857975263,22,2400.0,0.1927280328814244,216452.78107246908,200000.0,204000.0
4000.0,1,2021-04-02,2021,12798.156621400325,10238.52529712026,8,2400.0,0.1875270065055198,216798.15662140033,200000.0,204000.0
4000.0,1,2021-07-09,2021,12226.103374318162,9780.882699454529,19,2400.0,0.19630130111948654,216226.10337431816,200000.0,204000.0
4000.0,2,2021-11-26,2021,8400.146993736125,6720.1175949889,19,2400.0,0.19354609273683196,212400.14699373613,188000.0,204000.0
4000.0,2,2022-04-07,2022,12936.186968115682,10348.949574492546,26,2400.0,0.1855260754900476,216936.18696811568,200000.0,204000.0
4000.0,3,2022-05-24,2022,8222.155090130342,6577.724072104274,11,2400.0,0.19636471492151597,212222.15509013034,188000.0,204000.0
4000.0,3,2022-07-28,2022,12735.888651581306,10188.710921265047,9,2400.0,0.18844385858398757,216735.8886515813,200000.0,204000.0
4000.0,3,2022-08-22,2022,12226.999914979504,9781.599931983603,6,2400.0,0.19628690739252558,216226.9999149795,200000.0,204000.0
4000.0,4,2022-11-04,2022,8283.893067792727,6627.114454234183,12,2400.0,0.19537779975410124,212283.89306779273,188000.0,204000.0
4000.0,5,2023-06-06,2023,8174.484390456753,6539.587512365403,21,2400.0,0.19713360525405862,212174.48439045675,188000.0,204000.0
4000.0,5,2023-10-31,2023,12264.62709161968,9811.701673295745,21,2400.0,0.19568471035209056,216264.62709161968,200000.0,204000.0
4000.0,5,2024-01-05,2024,14202.390477028413,11361.912381622731,10,2400.0,0.16898563688147206,218202.3904770284,200000.0,204000.0
4000.0,6,2024-07-29,2024,9918.153270916955,7934.522616733564,25,2400.0,0.1724366698141616,213918.15327091696,188000.0,204000.0
4000.0,7,2025-04-10,2025,8356.050603358162,6684.84048268653,32,2400.0,0.19423682186504815,212356.05060335816,188000.0,204000.0
4000.0,8,2025-09-24,2025,8805.332603603718,7044.266082882975,21,2400.0,0.18742191821902263,212805.33260360372,188000.0,204000.0
4000.0,9,2026-02-09,2026,8207.905086613959,6566.324069291168,22,2400.0,0.1965939268836235,212207.90508661396,188000.0,204000.0
4000.0,10,2026-05-19,2026,8235.622747880581,6588.498198304465,11,2400.0,0.19614857775961758,212235.62274788058,188000.0,204000.0
