trade_day,window,R,pnl,exit_dt
2026-01-02,LON_OPEN,0.4000783917346789,800.1567834693578,2026-01-02 19:00:00+00:00
2026-01-05,LON_OPEN,-1.0,-2000.0,2026-01-05 16:00:00+00:00
2026-01-06,LON_H1,1.5,3000.0,2026-01-06 15:00:00+00:00
2026-01-07,LON_OPEN,-0.1702387125235933,-340.4774250471866,2026-01-07 19:00:00+00:00
2026-01-08,LON_OPEN,1.5,3000.0,2026-01-08 17:00:00+00:00
2026-01-09,LON_OPEN,-1.0,-2000.0,2026-01-09 13:00:00+00:00
2026-01-12,LON_OPEN,-0.5716814216428394,-1143.3628432856788,2026-01-12 19:00:00+00:00
2026-01-15,LON_H1,-1.0,-2000.0,2026-01-15 13:00:00+00:00
2026-01-19,LON_OPEN,-0.6829206782455692,-1365.8413564911384,2026-01-19 19:00:00+00:00
2026-01-20,LON_OPEN,1.5,3000.0,2026-01-20 09:00:00+00:00
2026-01-22,NY_H1,1.5,3000.0,2026-01-22 23:00:00+00:00
2026-01-30,LON_OPEN,-1.0,-2000.0,2026-01-30 15:00:00+00:00
2026-02-02,NY_H1,0.0885138142485428,177.0276284970856,2026-02-03 01:00:00+00:00
2026-02-05,NY_H1,-1.0,-2000.0,2026-02-05 15:00:00+00:00
2026-02-06,LON_H1,1.0822790592435485,2164.558118487097,2026-02-06 20:00:00+00:00
2026-02-09,LON_OPEN,1.5,3000.0,2026-02-09 13:00:00+00:00
2026-02-11,LON_OPEN,-1.0,-2000.0,2026-02-11 13:00:00+00:00
2026-02-13,LON_OPEN,0.2878714517976214,575.7429035952429,2026-02-13 19:00:00+00:00
2026-02-16,NY_H1,-0.6358247737737645,-1271.649547547529,2026-02-17 01:00:00+00:00
2026-02-17,LON_H1,-1.0,-2000.0,2026-02-17 11:00:00+00:00
2026-02-18,LON_OPEN,1.5,3000.0,2026-02-18 17:00:00+00:00
2026-02-19,NY_H1,-1.0,-2000.0,2026-02-19 15:00:00+00:00
2026-02-23,LON_OPEN,0.862074503908121,1724.149007816242,2026-02-23 19:00:00+00:00
2026-02-24,NY_H1,-0.4074363569326621,-814.8727138653243,2026-02-25 01:00:00+00:00
2026-02-25,LON_OPEN,-0.3886025080877687,-777.2050161755374,2026-02-25 19:00:00+00:00
2026-02-27,LON_H1,-0.3130099844882504,-626.0199689765008,2026-02-27 20:00:00+00:00
2026-03-02,LON_OPEN,-1.0,-2000.0,2026-03-02 10:00:00+00:00
2026-03-03,LON_OPEN,1.5,3000.0,2026-03-03 11:00:00+00:00
2026-03-05,LON_OPEN,-1.0,-2000.0,2026-03-05 09:00:00+00:00
2026-03-06,LON_H1,1.5,3000.0,2026-03-06 13:00:00+00:00
2026-03-12,NY_H1,0.2771327177612672,554.2654355225344,2026-03-13 00:00:00+00:00
2026-03-13,LON_OPEN,-1.0,-2000.0,2026-03-13 12:00:00+00:00
2026-03-17,LON_H1,0.6056489845698398,1211.2979691396797,2026-03-17 20:00:00+00:00
2026-03-20,LON_OPEN,-1.0,-2000.0,2026-03-20 10:00:00+00:00
2026-03-23,NY_H1,-0.3820089627689074,-764.0179255378148,2026-03-24 00:00:00+00:00
2026-03-24,LON_H1,-0.5184050507833695,-1036.810101566739,2026-03-24 20:00:00+00:00
2026-03-26,LON_OPEN,0.9440357178055568,1888.0714356111137,2026-03-26 19:00:00+00:00
2026-03-27,LON_OPEN,-1.0,-2000.0,2026-03-27 15:00:00+00:00
2026-03-30,LON_H1,1.5,3000.0,2026-03-30 15:00:00+00:00
2026-03-31,NY_H1,1.5,3000.0,2026-03-31 16:00:00+00:00
2026-04-01,LON_OPEN,-0.3932675304576756,-786.5350609153512,2026-04-01 18:00:00+00:00
2026-04-02,LON_OPEN,0.0180022573429002,36.004514685800395,2026-04-02 18:00:00+00:00
2026-04-06,LON_OPEN,0.3558891187177434,711.7782374354869,2026-04-06 18:00:00+00:00
2026-04-08,LON_H1,0.2461785017186771,492.35700343735425,2026-04-08 19:00:00+00:00
2026-04-10,NY_H1,-1.0,-2000.0,2026-04-12 21:00:00+00:00
2026-04-14,LON_OPEN,0.5518202446669996,1103.6404893339993,2026-04-14 18:00:00+00:00
2026-04-17,LON_H1,1.5,3000.0,2026-04-17 12:00:00+00:00
2026-04-21,LON_H1,1.5,3000.0,2026-04-21 17:00:00+00:00
2026-04-22,NY_H1,0.4518471321382315,903.6942642764631,2026-04-23 00:00:00+00:00
2026-04-27,LON_H1,-1.0,-2000.0,2026-04-27 17:00:00+00:00
2026-04-28,LON_OPEN,-1.0,-2000.0,2026-04-28 08:00:00+00:00
2026-04-29,NY_H1,0.6594583658212657,1318.9167316425314,2026-04-30 00:00:00+00:00
2026-05-04,NY_H1,-0.8101981962896035,-1620.396392579207,2026-05-05 00:00:00+00:00
2026-05-05,LON_OPEN,0.4384113296488601,876.8226592977202,2026-05-05 18:00:00+00:00
2026-05-06,LON_OPEN,1.5,3000.0,2026-05-06 09:00:00+00:00
2026-05-08,NY_H1,-1.0,-2000.0,2026-05-10 21:00:00+00:00
2026-05-12,LON_H1,0.148983319479408,297.96663895881596,2026-05-12 19:00:00+00:00
2026-05-13,LON_OPEN,0.5537362680541528,1107.4725361083056,2026-05-13 18:00:00+00:00
2026-05-14,NY_H1,1.5,3000.0,2026-05-14 20:00:00+00:00
2026-05-15,LON_OPEN,-1.0,-2000.0,2026-05-15 09:00:00+00:00
2026-05-19,LON_OPEN,1.5,3000.0,2026-05-19 14:00:00+00:00
2026-05-26,NY_H1,-0.3787956552088733,-757.5913104177466,2026-05-27 00:00:00+00:00
2026-05-27,LON_H1,-1.0,-2000.0,2026-05-27 12:00:00+00:00
2026-06-02,LON_H1,1.5,3000.0,2026-06-02 18:00:00+00:00
