mode,year,trades,payouts,breaches,accounts_used,gross_requested,user_paid,ending_balance,ending_floor,ending_cycle_base,ending_cycle_profit,ending_profitable_days,ending_best_day,ending_consistency
custom,2025,160,3,2,3,26370.53615178645,21096.428921429164,200772.6301643883,200000.0,204000.0,-3227.3698356116947,1,1342.6379527457004,inf
official,2025,160,3,2,3,26370.53615178645,21096.428921429164,200772.6301643883,200000.0,204000.0,-3227.3698356116947,1,1342.6379527457004,inf
