symbol,signal,R,reason
EURUSD,2026-01-02 08:00:00+00:00,-1.0,SL
EURUSD,2026-01-12 08:00:00+00:00,-1.0,SL
EURUSD,2026-01-15 08:00:00+00:00,-1.0,SL
EURUSD,2026-01-20 08:00:00+00:00,0.2325476992143555,time
EURUSD,2026-02-04 08:00:00+00:00,0.11029825548679585,time
EURUSD,2026-02-09 08:00:00+00:00,-1.0,SL
EURUSD,2026-02-17 08:00:00+00:00,-1.0,SL
EURUSD,2026-02-27 08:00:00+00:00,0.33149622371915277,time
EURUSD,2026-03-02 08:00:00+00:00,-1.0,SL
EURUSD,2026-03-03 08:00:00+00:00,0.1574026272012465,time
EURUSD,2026-04-08 07:00:00+00:00,-1.0,SL
EURUSD,2026-04-21 07:00:00+00:00,-0.255431520825717,time
EURUSD,2026-04-28 07:00:00+00:00,-1.0,SL
EURUSD,2026-05-04 07:00:00+00:00,-1.0,SL
EURUSD,2026-05-06 07:00:00+00:00,3.3333333333333335,TP
EURUSD,2026-05-12 07:00:00+00:00,-0.021688613477905686,time
EURUSD,2026-05-13 07:00:00+00:00,-0.35233160621762905,time
EURUSD,2026-05-27 07:00:00+00:00,0.2235528942115151,time
EURUSD,2026-06-03 07:00:00+00:00,-0.3846369498176808,time
EURUSD,2026-06-05 07:00:00+00:00,0.38705623625509733,time
EURUSD,2026-06-15 07:00:00+00:00,-1.0,SL
EURUSD,2026-06-18 07:00:00+00:00,2.494623655914039,time
EURUSD,2026-06-22 07:00:00+00:00,-1.0,SL
EURUSD,2026-06-23 07:00:00+00:00,1.4720767888307442,time
EURUSD,2026-06-26 07:00:00+00:00,0.5371304261840706,time
EURUSD,2026-06-29 07:00:00+00:00,-1.0,SL
EURUSD,2026-07-02 07:00:00+00:00,-0.30657989877073294,time
EURUSD,2026-07-27 07:00:00+00:00,-1.0,SL
EURUSD,2026-08-05 07:00:00+00:00,-1.0,SL
EURUSD,2026-08-07 07:00:00+00:00,0.9085545722714068,time
GBPUSD,2026-01-05 08:00:00+00:00,-1.0,SL
GBPUSD,2026-01-08 08:00:00+00:00,-0.18312236286921835,time
GBPUSD,2026-01-12 08:00:00+00:00,-1.0,SL
GBPUSD,2026-01-15 08:00:00+00:00,-1.0,SL
GBPUSD,2026-02-04 08:00:00+00:00,-1.0,SL
GBPUSD,2026-02-05 08:00:00+00:00,0.6632825719120695,time
GBPUSD,2026-02-11 08:00:00+00:00,-0.5748950069995176,time
GBPUSD,2026-02-17 08:00:00+00:00,-1.0,SL
GBPUSD,2026-02-24 08:00:00+00:00,-0.08406415422301658,time
GBPUSD,2026-03-03 08:00:00+00:00,-0.5033655253145763,time
GBPUSD,2026-04-01 07:00:00+00:00,-1.0,SL
GBPUSD,2026-04-02 07:00:00+00:00,0.0027769513041318653,time
GBPUSD,2026-04-06 07:00:00+00:00,-1.0,SL
