n,ev,pf,wr,totalR,maxDD,annual_freq,ytd2026,pos_years,recent_pf,recent_ev,old_pf,old_ev,day_policy,combo,windows,distance260,quality,score
3469,0.026385964792649125,1.0577197925373225,0.4571922744306717,91.53291186569982,53.52140520507557,239.21428571428572,120,10,1.1075722942052437,0.04798732370077823,1.0295665709131852,0.013752670872893991,MonFri,LON_OPEN+LON_H2+LON_H3,3,20.785714285714278,True,3.1765086903524233
3799,0.01945112064759099,1.045420636967213,0.45985785733087653,73.89480734019817,41.86449926708072,261.35714285714283,140,8,1.0700106417849444,0.029787804982802816,0.9870751370710348,-0.005601594264271779,MonThu,LON_OPEN+LON_H2+LON_H3+NY_H1,4,1.3571428571428328,True,3.1314612915740874
3933,0.02064047763128063,1.0501342464910735,0.46809051614543606,81.17899852382672,39.50227595401257,270.07142857142856,152,9,1.0642541053125734,0.026297025192143393,1.0486365525092656,0.01970143138644399,MonThu,LON_OPEN+LON_H3+NY_OPEN+NY_H1,4,10.071428571428555,True,2.9618187994673697
3788,0.01646536619187217,1.0425464039013481,0.4662090813093981,62.370807134811784,37.89053685934294,259.64285714285717,153,9,1.0988914785446333,0.03777039520413346,1.0794487850234626,0.029731921502352286,MonFri,LON_H1+NY_OPEN+NY_H2,3,0.3571428571428328,True,2.954143515343557
3965,0.02192787891017277,1.056444480622295,0.467843631778058,86.94403987883503,34.623341781951105,272.35714285714283,152,8,1.137864566043435,0.05177225992641596,1.0061643469058643,0.002373026191882951,MonThu,LON_OPEN+LON_H3+NY_H1+NY_H2,4,12.357142857142833,True,2.9393755543830853
3744,0.017117637179390383,1.0462045784099785,0.4652777777777778,64.0884335996376,39.82787917493553,256.7142857142857,150,8,1.1049798130962525,0.038639497968174404,1.0266627837056166,0.00962622195976196,MonFri,LON_H1+NY_H1+NY_H2,3,3.2857142857142776,True,2.8095237877531094
3571,0.014877010672412273,1.0362010761426608,0.45953514421730607,53.12580511118423,29.182289710661397,245.35714285714286,136,8,1.0330019451294956,0.013646886587885515,1.01148021267854,0.004700684640662779,MonFri,LON_H1+LON_H3+NY_H1,3,14.642857142857139,True,1.917568971524978
3615,0.014220796306046581,1.0332435681016092,0.4605809128630705,51.408178646358394,40.17917373153243,248.28571428571428,139,7,1.0303445013788137,0.012976706919725278,1.0615520669700726,0.025989841905270105,MonFri,LON_H1+LON_H3+NY_OPEN,3,11.714285714285722,True,1.8688010259064642
3931,0.011170981118567902,1.0277290133660442,0.4624777410328161,43.913126777090426,48.41141717427701,269.85714285714283,153,9,1.100619643979262,0.039866158163407106,1.0468993325710352,0.01853035537242982,MonThu,LON_H1+LON_H2+NY_OPEN+NY_H2,4,9.857142857142833,True,1.8015311026600902
3564,0.01197893023900135,1.0271395702588237,0.4542648709315376,42.692907371800814,43.55816011392546,244.35714285714286,143,10,1.0487803336543458,0.02146921254940885,1.0464885932079413,0.020326139873664578,MonFri,LON_H1+LON_H2+NY_OPEN,3,15.642857142857139,True,1.6871458693455157
3520,0.012616628930859837,1.0297219999691807,0.453125,44.41053383662663,36.51540856243912,241.42857142857142,140,10,1.052247635950794,0.022243350964795582,0.9971483479156696,-0.0012111884231858785,MonFri,LON_H1+LON_H2+NY_H1,3,18.571428571428584,True,1.6303114642063612
3647,0.010910957168257913,1.0276623262760838,0.45928160131615026,39.79226079263661,58.44666534726605,250.71428571428572,137,7,1.1135093731440064,0.04362790162842374,1.0064974500926456,0.0025390938042491756,MonFri,LON_H1+LON_H3+NY_H2,3,9.285714285714278,True,1.6034332653009153
3911,0.0075236177103426595,1.0190448404450712,0.45717207875223725,29.42486886515014,61.474405617913,268.42857142857144,153,8,1.0936544963001882,0.03644707504960381,0.9883832741575921,-0.004552309820535062,MonThu,LON_H1+LON_H2+NY_H1+NY_H2,4,8.428571428571445,True,1.3213816040564053
3879,0.00609946571542713,1.0145696015249024,0.45733436452693993,23.659827510141838,40.106814948864425,266.14285714285717,153,8,1.0247161273955268,0.010465604896455786,1.0302553685909295,0.012454513966793073,MonThu,LON_H1+LON_H2+NY_OPEN+NY_H1,4,6.142857142857167,True,1.2484997296488785
3596,0.00864209942104533,1.0212103927342218,0.45300333704115686,31.07698951807901,67.39483149091987,246.78571428571428,141,8,1.1334021004406702,0.052747378180553126,0.9919636993778493,-0.003259814478216826,MonFri,LON_H1+LON_H2+NY_H2,3,13.214285714285722,True,1.2155995837324647
4045,0.009075169356929216,1.0238779229599224,0.46526576019777505,36.70906004877868,47.49299651377045,277.14285714285717,165,8,1.0877675351162026,0.032899924207601336,1.0528441464927663,0.019366563902098295,MonThu,LON_H1+NY_OPEN+NY_H1+NY_H2,4,17.142857142857167,True,1.0891533081492875
3820,0.002963278621729987,1.0072016326258988,0.45523560209424085,11.319724335008551,63.59422028120423,262.64285714285717,143,6,1.0865230521038622,0.03485655297325939,0.9603315161558259,-0.016468873979044594,MonThu,LON_H1+LON_H2+LON_H3+NY_H2,4,2.642857142857167,True,0.8362013312891282
3788,0.001466389382259834,1.0033650188324217,0.4553854276663147,5.554682980000251,64.25913088083642,260.35714285714283,143,6,1.0192645486480305,0.008436916147797879,1.0022084973663778,0.0009618042056021872,MonThu,LON_H1+LON_H2+LON_H3+NY_OPEN,4,0.3571428571428328,True,0.7624319836930586
