strategy,rr,max_tp_day_pct,profitable_day_possible,full_n,full_wr,full_ev,full_pf,full_totalR,y26_n,y26_wr,y26_ev,y26_pf,y26_totalR,fullsim_trades_used,fullsim_payouts,fullsim_breaches,fullsim_accounts_used,fullsim_user_paid,fullsim_net_cash,fullsim_payout_before_breach_rate,fullsim_resolved_accounts,fullsim_successful_accounts,fullsim_avg_first_payout_days,fullsim_median_first_payout_days,fullsim_first_portfolio_payout_date,fullsim_first_portfolio_payout_days,fullsim_median_gap_days,y26sim_trades_used,y26sim_payouts,y26sim_breaches,y26sim_accounts_used,y26sim_user_paid,y26sim_net_cash,y26sim_payout_before_breach_rate,y26sim_resolved_accounts,y26sim_successful_accounts,y26sim_avg_first_payout_days,y26sim_median_first_payout_days,y26sim_first_portfolio_payout_date,y26sim_first_portfolio_payout_days,y26sim_median_gap_days
CANDLE_ONLY,0.15,0.40499999999999997,False,7489,0.8601949525971425,-0.0018197298936362513,0.9860900592355948,-13.627957173441887,305,0.8655737704918033,0.0007346966309337416,1.005690850817074,0.22408247243479118,6413,0,13,15,0.0,-8235.0,0.0,13,0,,,,,,262,0,1,3,0.0,-1647.0,0.0,1,0,,,,,
CANDLE_ONLY,0.2,0.54,True,7489,0.824142075043397,0.0016495700057560056,1.010117509131498,12.353629773106727,305,0.8360655737704918,0.01407073215453185,1.0918800655682868,4.291573307132214,6413,284,296,298,775546.5970829325,611944.5970829325,0.7162162162162162,296,212,26.919811320754718,19.0,2012-01-16,15.0,15.0,262,14,11,13,38661.57915507635,31524.579155076353,0.8181818181818182,11,9,29.77777777777778,20.0,2026-02-16,46.0,13.0
CANDLE_ONLY,0.25,0.675,True,7489,0.7891574308986513,0.0031215883725814173,1.016117002342211,23.377575322262235,305,0.7901639344262295,0.0036505641446603065,1.0188279758989212,1.1134220641213934,6413,291,333,335,972313.5751240845,788398.5751240845,0.6546546546546547,333,218,23.059633027522935,17.0,2012-01-16,15.0,15.0,262,14,16,18,46329.57915507635,36447.57915507635,0.6875,16,11,20.818181818181817,17.0,2026-02-02,32.0,15.0
CANDLE_ONLY,0.3,0.8099999999999999,True,7489,0.7572439578047804,0.006451181486580897,1.0293586000930801,48.31289815300434,305,0.7672131147540984,0.015060200110209386,1.0705168662549953,4.593361033613863,6413,242,306,308,944446.2302321007,775354.2302321007,0.6405228758169934,306,196,29.877551020408163,21.0,2012-02-28,58.0,18.0,262,12,14,16,45540.04668015863,36756.04668015863,0.7142857142857143,14,10,22.2,20.0,2026-01-22,21.0,19.0
CANDLE_ONLY,0.4,1.08,True,7489,0.6923487782080384,0.0015833326479969888,1.0058143381552493,11.85757820084945,305,0.6819672131147541,-0.015231581429436066,0.9466273860954553,-4.645632335978,6413,217,327,329,1064939.4207777483,884318.4207777483,0.5657492354740061,327,185,30.708108108108107,21.0,2012-02-21,51.0,19.0,262,11,18,20,51054.09988662073,40074.09988662073,0.6111111111111112,18,11,22.0,20.0,2026-03-11,69.0,14.0
CANDLE_ONLY,0.5,1.35,True,7489,0.6433435705701696,0.004018864622349846,1.0129305285395815,30.09727715677799,305,0.639344262295082,-0.011311335414479986,0.9651159581024723,-3.449957301416396,6413,200,324,326,1188234.9527120434,1009260.9527120434,0.5185185185185185,324,168,32.160714285714285,23.0,2012-03-16,75.0,20.0,262,7,14,16,41045.21052711923,32261.210527119227,0.42857142857142855,14,6,36.5,33.5,2026-03-11,69.0,19.0
CANDLE_ONLY,0.6,1.6199999999999999,True,7489,0.6024836426759247,0.005707474710371782,1.0167147388875506,42.74327810597428,305,0.580327868852459,-0.028598498130930676,0.9214426406105802,-8.722541929933856,6413,173,321,323,1261553.0157241155,1084226.0157241155,0.4766355140186916,321,153,36.05882352941177,25.0,2012-02-24,54.0,22.0,262,6,14,16,40511.55039453461,31727.550394534614,0.42857142857142855,14,6,30.666666666666668,23.5,2026-03-20,78.0,23.0
CANDLE_ONLY,0.75,2.025,True,7489,0.5548137267993056,0.009189444472184892,1.0244871175991532,68.81974965219266,305,0.5442622950819672,-0.006864559326009872,0.9821604756195301,-2.093690594433011,6413,157,337,339,1413207.3937360365,1227096.3937360365,0.42729970326409494,337,144,35.020833333333336,27.0,2012-02-24,54.0,28.0,262,3,8,10,26576.709343640567,21086.709343640567,0.375,8,3,50.666666666666664,36.0,2026-04-06,95.0,19.0
CANDLE_ONLY,1.0,2.7,True,7489,0.503805581519562,0.015776459383632188,1.0384259980225854,118.14990432402146,305,0.5081967213114754,0.013926172019481866,1.033672352997819,4.247482465941969,6413,128,296,298,1525953.1220712624,1362351.1220712624,0.3783783783783784,296,112,45.232142857142854,33.0,2012-03-06,65.0,29.0,262,4,10,12,49361.029532651766,42773.029532651766,0.4,10,4,47.0,35.0,2026-04-24,113.0,10.0
CANDLE_ONLY,1.5,4.05,True,7489,0.4609427159834424,0.028119373432821677,1.0642279030729986,210.58598763840155,305,0.4819672131147541,0.04550011555248755,1.1081658864272104,13.877535243508703,6413,90,253,255,1558376.2044864614,1418381.2044864614,0.31225296442687744,253,79,58.64556962025316,49.0,2012-03-06,65.0,42.0,262,4,8,10,69102.8288688265,63612.8288688265,0.4444444444444444,9,4,59.75,56.0,2026-04-24,113.0,22.0
