day_policy,combo,year,trades,R,EV,PF
MonFri,LON_OPEN+LON_H1+NY_H1,2012,237,13.237486786894632,0.05585437462824739,1.1369355470581992
MonFri,LON_OPEN+LON_H1+NY_H1,2013,218,7.384936154471042,0.033875853919591935,1.0794955807819009
MonFri,LON_OPEN+LON_H1+NY_H1,2014,204,13.38483932903299,0.06561195749525976,1.1568337812638452
MonFri,LON_OPEN+LON_H1+NY_H1,2015,239,6.347244726652318,0.026557509316536894,1.0621266066469188
MonFri,LON_OPEN+LON_H1+NY_H1,2016,239,13.724493811062905,0.057424660297334326,1.1321014649683694
MonFri,LON_OPEN+LON_H1+NY_H1,2017,261,8.029402200638991,0.030763993105896517,1.0715377105961303
MonFri,LON_OPEN+LON_H1+NY_H1,2018,280,13.435358572745029,0.04798342347408939,1.1114954476079488
MonFri,LON_OPEN+LON_H1+NY_H1,2019,238,9.246463163999028,0.038850685563021126,1.0875342689187644
MonFri,LON_OPEN+LON_H1+NY_H1,2020,265,3.182312812939177,0.012008727595996894,1.0278596195397578
MonFri,LON_OPEN+LON_H1+NY_H1,2021,277,25.060990810117197,0.09047289101125341,1.219962770859611
MonFri,LON_OPEN+LON_H1+NY_H1,2022,231,41.06193063024224,0.1777572754555941,1.457629110056933
MonFri,LON_OPEN+LON_H1+NY_H1,2023,237,29.196605989058487,0.12319243033358011,1.3125256588580303
MonFri,LON_OPEN+LON_H1+NY_H1,2024,247,-5.075261506767939,-0.020547617436307446,0.9550641288667865
MonFri,LON_OPEN+LON_H1+NY_H1,2025,252,21.46301666043377,0.08517070103346734,1.2159177035239046
MonFri,LON_OPEN+LON_H1+NY_H1,2026,135,11.43595064277406,0.08471074550203007,1.2146322416816422
MonFri,LON_OPEN+LON_H1+NY_OPEN,2012,240,11.435130563311583,0.0476463773471316,1.1104188631441971
MonFri,LON_OPEN+LON_H1+NY_OPEN,2013,207,11.119629281196318,0.05371801585118994,1.123775284256766
MonFri,LON_OPEN+LON_H1+NY_OPEN,2014,230,29.793768156863234,0.12953812242114449,1.3140410281428654
MonFri,LON_OPEN+LON_H1+NY_OPEN,2015,243,8.504406717268244,0.034997558507276726,1.0772709157598859
MonFri,LON_OPEN+LON_H1+NY_OPEN,2016,236,22.570070315321278,0.09563589116661558,1.2274763554032717
MonFri,LON_OPEN+LON_H1+NY_OPEN,2017,275,15.265060789756742,0.05550931196275179,1.130911528253194
MonFri,LON_OPEN+LON_H1+NY_OPEN,2018,275,-3.4572965269269154,-0.012571987370643328,0.9729180148829498
MonFri,LON_OPEN+LON_H1+NY_OPEN,2019,251,-1.9029157864291486,-0.007581337794538441,0.98476135924883
MonFri,LON_OPEN+LON_H1+NY_OPEN,2020,263,4.946804883693286,0.018809144044461164,1.042221237319916
MonFri,LON_OPEN+LON_H1+NY_OPEN,2021,271,13.650441321231686,0.050370632181666736,1.1119039247676965
MonFri,LON_OPEN+LON_H1+NY_OPEN,2022,239,32.257238737610834,0.1349675260987901,1.3259002950423602
MonFri,LON_OPEN+LON_H1+NY_OPEN,2023,239,15.405507372466207,0.06445818984295484,1.1469680208128357
MonFri,LON_OPEN+LON_H1+NY_OPEN,2024,239,13.739023962413679,0.05748545590968066,1.1328578620269927
MonFri,LON_OPEN+LON_H1+NY_OPEN,2025,258,24.806493230974077,0.09614919856966697,1.2384292067629263
MonFri,LON_OPEN+LON_H1+NY_OPEN,2026,138,11.264781300717004,0.08162885000519568,1.1939487239412998
MonFri,LON_OPEN+LON_H1+NY_H2,2012,250,13.552006874100744,0.05420802749640298,1.1391729255035912
MonFri,LON_OPEN+LON_H1+NY_H2,2013,208,10.838526352277466,0.05210829977056474,1.1307115803256569
MonFri,LON_OPEN+LON_H1+NY_H2,2014,221,21.754243185599226,0.0984354895275983,1.273232470906884
MonFri,LON_OPEN+LON_H1+NY_H2,2015,239,-7.762736561724611,-0.03248006929591887,0.9277877477892754
MonFri,LON_OPEN+LON_H1+NY_H2,2016,257,11.165928978111515,0.04344719446735998,1.1067040867813254
MonFri,LON_OPEN+LON_H1+NY_H2,2017,272,11.403616581853445,0.04192506096269649,1.1030996358927514
MonFri,LON_OPEN+LON_H1+NY_H2,2018,258,-10.829904419250518,-0.04197637371802526,0.908583075544489
MonFri,LON_OPEN+LON_H1+NY_H2,2019,256,7.952049408974801,0.031062693003807818,1.0733893902616647
MonFri,LON_OPEN+LON_H1+NY_H2,2020,264,-5.12184248518861,-0.01940091850450231,0.9539802875412875
MonFri,LON_OPEN+LON_H1+NY_H2,2021,273,11.538792801145085,0.042266640297234745,1.098971608699072
MonFri,LON_OPEN+LON_H1+NY_H2,2022,245,53.83832595173695,0.21974826919076304,1.6577042145424756
MonFri,LON_OPEN+LON_H1+NY_H2,2023,252,13.00829387056572,0.051620213772086185,1.1254463856854966
MonFri,LON_OPEN+LON_H1+NY_H2,2024,243,21.493162896775203,0.08844923002788149,1.2255042053516136
MonFri,LON_OPEN+LON_H1+NY_H2,2025,262,18.158722525130877,0.06930810124095754,1.1778623061467473
MonFri,LON_OPEN+LON_H1+NY_H2,2026,136,26.793040505639013,0.19700765077675744,1.5708499921145087
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2012,234,-0.13109240823098234,-0.0005602239667990698,0.9987423652896087
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2013,215,11.425113278530292,0.05314006176060601,1.1245748860549374
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2014,244,21.997605074779106,0.09015411915893076,1.2088547928033337
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2015,264,6.932243681298202,0.02625849879279622,1.0581294704693613
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2016,260,19.232929002818945,0.07397280385699595,1.1730757651290482
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2017,285,26.8900487943423,0.09435104840120105,1.2341367257584197
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2018,281,-8.725110491412158,-0.031050215271929388,0.9327843713096492
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2019,271,-1.1885774611175788,-0.00438589469047077,0.990981779375277
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2020,262,9.492617338648463,0.036231363887971234,1.0815042348629806
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2021,272,0.7367252847081573,0.002708548840838814,1.005940237620345
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2022,257,23.469115646971836,0.09131951613607718,1.2104513727765887
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2023,254,28.83759186658945,0.11353382624641516,1.2692482085097978
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2024,261,12.462294024977759,0.047748252969263445,1.1097929337391337
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2025,288,25.247257562855044,0.08766408875991334,1.2091870818332169
MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,2026,139,10.420856397010978,0.0749701899065538,1.1774536727283236
MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,2012,248,-1.466374719170855,-0.005912801286979253,0.9860451628154896
MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,2013,217,15.657031238184352,0.07215221768748549,1.1830503038363083
MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,2014,235,16.72519448884111,0.07117104037804728,1.1816543759742952
MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,2015,259,-7.928998497682457,-0.03061389381344578,0.9331452555025751
MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,2016,276,13.04473519842789,0.04726353332763728,1.1122859469207447
MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,2017,283,19.641480955418594,0.06940452634423531,1.1731452018222719
MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,2018,262,-9.18734130508181,-0.03506618818733515,0.9241234651933827
MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,2019,272,14.535653677173823,0.05343990322490376,1.126375353620396
MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,2020,269,1.5479592512358487,0.005754495357754084,1.0135701826404486
MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,2021,273,-3.306443779166681,-0.012111515674603227,0.9726766675897399
MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,2022,265,43.12596195329338,0.1627394790690316,1.4460960149208417
