strategy,rr,max_tp_day_pct,profitable_day_possible,full_n,full_wr,full_ev,full_pf,full_totalR,y26_n,y26_wr,y26_ev,y26_pf,y26_totalR,fullsim_trades_used,fullsim_payouts,fullsim_breaches,fullsim_accounts_used,fullsim_user_paid,fullsim_net_cash,fullsim_payout_before_breach_rate,fullsim_resolved_accounts,fullsim_successful_accounts,fullsim_avg_first_payout_days,fullsim_median_first_payout_days,fullsim_first_portfolio_payout_date,fullsim_first_portfolio_payout_days,fullsim_median_gap_days,y26sim_trades_used,y26sim_payouts,y26sim_breaches,y26sim_accounts_used,y26sim_user_paid,y26sim_net_cash,y26sim_payout_before_breach_rate,y26sim_resolved_accounts,y26sim_successful_accounts,y26sim_avg_first_payout_days,y26sim_median_first_payout_days,y26sim_first_portfolio_payout_date,y26sim_first_portfolio_payout_days,y26sim_median_gap_days,score
DI_ALIGN,0.3,0.8099999999999999,True,4364,0.7577910174152154,0.008736824892344005,1.040174525856242,38.127503830189234,173,0.7745664739884393,0.02551890968818918,1.1233685390821533,4.414771376056728,4145,185,206,208,669704.1650682245,555512.1650682245,0.6456310679611651,206,133,36.932330827067666,28.0,2012-04-04,94.0,18.0,164,9,7,9,31889.72852792953,26948.72852792953,0.7142857142857143,7,5,34.2,24.0,2026-01-26,25.0,18.0,209.66485205467893
ADX_DI,0.2,0.54,True,2379,0.8335435056746532,0.011557945399796479,1.074559783850408,27.496352106115822,86,0.8488372093023255,0.03896605834106263,1.2979024937857981,3.351081017331386,2309,154,119,121,338326.89653071156,271897.89653071156,0.7666666666666667,120,92,55.16304347826087,31.0,2012-01-17,16.0,26.0,83,8,5,7,17712.0,13869.0,0.8333333333333334,6,5,22.4,21.0,2026-01-20,19.0,26.0,201.31226450517076
CANDLE_ONLY,0.5,1.35,True,7489,0.6433435705701696,0.004018864622349846,1.0129305285395815,30.09727715677799,305,0.639344262295082,-0.011311335414479986,0.9651159581024723,-3.449957301416396,6413,200,324,326,1188234.9527120434,1009260.9527120434,0.5185185185185185,324,168,32.160714285714285,23.0,2012-03-16,75.0,20.0,262,7,14,16,41045.21052711923,32261.210527119227,0.42857142857142855,14,6,36.5,33.5,2026-03-11,69.0,19.0,194.68115713724765
ADX_RISE,0.3,0.8099999999999999,True,3560,0.7609550561797753,0.011482632250326315,1.0532081769465005,40.87817081116168,135,0.762962962962963,0.023676706475726096,1.1162769213260635,3.196355374223023,3335,170,192,194,588024.0277427152,481518.0277427152,0.6666666666666666,192,128,44.0859375,30.0,2012-02-16,46.0,21.0,126,7,7,9,24884.127132520873,19943.127132520873,0.7142857142857143,7,5,39.4,17.0,2026-01-19,18.0,26.0,194.19874843613167
ADX_DI,0.25,0.675,True,2379,0.7986548970155527,0.014350192492399536,1.0776900056605538,34.139107939418494,86,0.813953488372093,0.04745165470706735,1.3041056970565201,4.080842304807792,2309,137,122,124,378706.0243698941,310630.0243698941,0.7479674796747967,123,92,64.08695652173913,47.0,2012-01-17,16.0,28.0,83,6,3,5,17249.950377904017,14504.950377904017,0.75,4,3,69.33333333333333,70.0,2026-01-20,19.0,31.0,179.37364802408524
ADX_RANGE,0.2,0.54,True,2557,0.8247946812671099,0.0004548691919548579,1.0027664272688297,1.1631005238285717,78,0.8076923076923077,-0.0135111711006088,0.9228151987701275,-1.0538713458474864,2474,164,138,140,360986.5301067353,284126.5301067353,0.7028985507246377,138,97,53.329896907216494,37.0,2012-03-02,61.0,21.0,78,4,3,5,8640.0,5895.0,0.6666666666666666,3,2,19.0,19.0,2026-01-19,18.0,25.0,178.61751934515206
DI_ALIGN,0.4,1.08,True,4364,0.6879010082493126,-0.002543554932211412,0.9907299671329632,-11.100073724170603,173,0.6936416184971098,0.00286556044477782,1.010465692415904,0.49574195694656287,4145,153,226,228,720582.5823795197,595410.5823795197,0.5486725663716814,226,124,38.41129032258065,28.5,2012-03-23,82.0,22.0,164,8,12,14,35977.20641464515,28291.206414645152,0.6666666666666666,12,8,29.5,20.5,2026-01-29,28.0,23.0,178.42455630849778
ADX_DI_DIRECTION,0.3,0.8099999999999999,True,2920,0.7681506849315068,0.020990094458631228,1.1007753430865954,61.291075819203186,105,0.8,0.07061687024815934,1.4169061603219784,7.414771376056731,2756,145,141,143,494719.62057518325,416212.62057518325,0.6879432624113475,141,97,61.54639175257732,41.0,2012-03-06,65.0,22.0,99,6,1,3,20781.893263403967,19134.893263403967,1.0,2,2,36.5,36.5,2026-02-02,32.0,19.0,178.2020796720007
CANDLE_ONLY,0.6,1.6199999999999999,True,7489,0.6024836426759247,0.005707474710371782,1.0167147388875506,42.74327810597428,305,0.580327868852459,-0.028598498130930676,0.9214426406105802,-8.722541929933856,6413,173,321,323,1261553.0157241155,1084226.0157241155,0.4766355140186916,321,153,36.05882352941177,25.0,2012-02-24,54.0,22.0,262,6,14,16,40511.55039453461,31727.550394534614,0.42857142857142855,14,6,30.666666666666668,23.5,2026-03-20,78.0,23.0,171.83069879074463
ADX_DI,0.3,0.8099999999999999,True,2379,0.7688104245481294,0.021152517123711502,1.1015402216122618,50.32183823730966,86,0.7906976744186046,0.0652880392564736,1.3797554653273434,5.61477137605673,2309,110,114,116,376937.19052306644,313253.19052306644,0.7280701754385965,114,83,75.53012048192771,60.0,2012-01-17,16.0,29.0,83,7,5,7,23803.237171801724,19960.237171801724,0.8,5,4,56.0,61.5,2026-03-06,64.0,15.0,167.82241975998227
ADX_DI_DIRECTION,0.4,1.08,True,2920,0.7058219178082191,0.021337772766308924,1.0827757862853868,62.30629647762206,105,0.7523809523809524,0.09391505706328557,1.45361413729243,9.861080991644984,2756,126,150,152,576462.7742598437,493014.77425984375,0.609271523178808,151,92,58.96739130434783,43.0,2012-03-08,67.0,34.0,99,7,5,7,32091.123923629988,28248.123923629988,0.8333333333333334,6,5,29.0,30.0,2026-02-09,39.0,18.5,165.45491018073466
ADX_DI_RANGE,0.2,0.54,True,1901,0.8295633876906892,0.004818152422147434,1.029923050087856,9.159307754502272,59,0.8305084745762712,0.01620892966851047,1.108136837970988,0.9563268504421176,1875,132,99,101,287194.7511126414,231745.75111264142,0.7171717171717171,99,71,65.98591549295774,43.0,2012-03-02,61.0,30.0,59,4,2,4,8640.0,6444.0,1.0,2,2,25.0,25.0,2026-01-22,21.0,32.0,163.71640221805026
ADX_RISE,0.4,1.08,True,3560,0.698876404494382,0.011486135826133366,1.0432785576478938,40.890643541034784,135,0.7037037037037037,0.024019740665268713,1.094146232536355,3.242664989811276,3335,131,166,168,605863.7309864527,513631.73098645266,0.5748502994011976,167,96,57.333333333333336,41.0,2012-02-16,46.0,30.5,126,6,6,8,27437.422392878205,23045.422392878205,0.5714285714285714,7,4,46.5,40.5,2026-03-13,71.0,22.0,159.3178155165987
DI_ALIGN,0.5,1.35,True,4364,0.6393217231897342,0.0007197020272048177,1.0023096074458864,3.1407796467218247,173,0.6589595375722543,0.014149038710318996,1.0458658818068645,2.4477836968851863,4145,144,234,236,829214.5068444423,699650.5068444423,0.5085470085470085,234,119,41.95798319327731,28.0,2012-03-13,72.0,24.0,164,5,8,10,28762.828493473284,23272.828493473284,0.5,8,4,45.75,37.0,2026-02-03,33.0,45.5,155.07779692915972
ADX_RANGE,0.25,0.675,True,2557,0.7888150175987485,0.0011517123024599027,1.005891655277284,2.944928357389971,78,0.7692307692307693,-0.010565513568859979,0.9479206062564562,-0.8241100583710783,2474,144,137,139,398320.2629784719,322009.2629784719,0.6277372262773723,137,86,56.98837209302326,39.0,2012-04-02,92.0,25.0,78,2,3,5,5537.728527929529,2792.7285279295293,0.6666666666666666,3,2,71.5,71.5,2026-01-19,18.0,137.0,150.93263918051008
