risk_pct,payouts,breaches,accounts_used,accounts_with_first_payout,payout_before_breach_rate,avg_days_first_payout_success,median_days_first_payout_success,avg_days_between_payouts,median_days_between_payouts,payouts_per_year,user_paid_50k,account_costs_50k,net_cash_50k,net_cash_per_year_50k
0.024,45,81,82,36,0.43902439024390244,79.91666666666667,68.0,114.54545454545455,97.5,3.081411698537683,346490.9452095469,28618.0,317872.9452095469,21766.609155940572
0.025,45,85,86,39,0.45348837209302323,81.64102564102564,78.0,114.47727272727273,104.0,3.081411698537683,362219.8441718501,30014.0,332205.8441718501,22748.0661011939
0.026,44,85,86,39,0.45348837209302323,82.33333333333333,78.0,117.13953488372093,105.0,3.0129358830146233,369502.82166407467,30014.0,339488.82166407467,23246.773924410063
0.027,46,90,91,39,0.42857142857142855,77.12820512820512,59.0,111.93333333333334,104.0,3.1498875140607425,398548.3529928643,31759.0,366789.3529928643,25116.200071361774
0.028,46,96,97,40,0.41237113402061853,72.05,64.5,111.15555555555555,102.0,3.1498875140607425,414042.9023730955,33853.0,380189.9023730955,26033.813618630134
0.029,47,99,100,40,0.4,71.05,64.5,108.73913043478261,99.0,3.218363329583802,437432.4454206923,34900.0,402532.4454206923,27563.737474673395
