variant,signal_dt,exit_dt,R,R_after_comm,R_after_comm_0p2,stop_pips,dir,cdir,didir,adx,adx_prev
RISE_CANDLE,2012-01-12 07:00:00+00:00,2012-01-12 09:00:00+00:00,-1.0,-1.0101051685912075,-1.0151577528868114,39.5837037640359,-1,-1,-1,21.606803853481857,21.459555696142772
RISE_CANDLE,2012-01-17 07:00:00+00:00,2012-01-17 14:00:00+00:00,-1.0,-1.0087906181097266,-1.01318592716459,45.50305735126945,1,1,1,27.868915679965696,26.337922436907064
RISE_CANDLE,2012-02-01 07:00:00+00:00,2012-02-01 09:00:00+00:00,1.5,1.4921134630915749,1.4881701946373622,50.71934673540706,1,1,-1,39.680007976115725,37.982534318651936
RISE_CANDLE,2012-02-06 07:00:00+00:00,2012-02-06 09:00:00+00:00,-1.0,-1.006966203552903,-1.0104493053293546,57.42008498062166,1,1,-1,21.196852586403597,19.84720599630217
RISE_CANDLE,2012-02-09 07:00:00+00:00,2012-02-09 19:00:00+00:00,-0.24983720916548957,-0.25729503630475725,-0.2610239498743911,53.63492509686644,-1,-1,1,23.404480397893998,22.691490933245188
RISE_CANDLE,2012-02-14 07:00:00+00:00,2012-02-14 17:00:00+00:00,-1.0,-1.008902456168308,-1.013353684252462,44.931420322401415,1,1,-1,33.48194556481081,32.020121650797535
RISE_CANDLE,2012-02-22 07:00:00+00:00,2012-02-22 19:00:00+00:00,-0.33479065537752684,-0.3426220157372356,-0.34653769591709,51.07669442181999,1,1,1,11.650770948872001,11.235177712759246
RISE_CANDLE,2012-02-23 07:00:00+00:00,2012-02-23 09:00:00+00:00,-1.0,-1.0103245087777568,-1.015486763166635,38.742763322722396,-1,-1,1,17.889536866399855,16.21586059707152
RISE_CANDLE,2012-03-01 07:00:00+00:00,2012-03-01 19:00:00+00:00,-0.17076063007714387,-0.1795175854657153,-0.18389606316000104,45.67797622014075,-1,-1,-1,34.00198105184259,33.32034511263549
RISE_CANDLE,2012-03-08 07:00:00+00:00,2012-03-08 11:00:00+00:00,1.5,1.4891307834404326,1.483696175160649,36.80118045379353,1,1,1,20.35456796138227,19.21155508324431
RISE_CANDLE,2012-03-14 07:00:00+00:00,2012-03-14 19:00:00+00:00,-0.5831719167180045,-0.5919085746463643,-0.5962769036105442,45.78409768128531,1,1,-1,32.3391136684643,31.776922513806543
RISE_CANDLE,2012-04-02 06:00:00+00:00,2012-04-02 12:00:00+00:00,-1.0,-1.0102001003847436,-1.0153001505771155,39.215300331581375,1,1,1,15.41652994604611,15.235635569928629
RISE_CANDLE,2012-04-11 06:00:00+00:00,2012-04-11 18:00:00+00:00,-0.7474628312955499,-0.7569544228040649,-0.7617002185583224,42.1425637250779,1,1,1,14.043802583148647,13.09549576082164
RISE_CANDLE,2012-04-12 06:00:00+00:00,2012-04-12 11:00:00+00:00,-1.0,-1.010978206174105,-1.0164673092611576,36.435825093493364,-1,-1,1,18.135707787619392,16.891651498703236
RISE_CANDLE,2012-04-30 06:00:00+00:00,2012-04-30 08:00:00+00:00,-1.0,-1.0121238592757245,-1.0181857889135866,32.99279469540856,1,1,1,20.59610507399663,19.635292184044467
RISE_CANDLE,2012-05-01 06:00:00+00:00,2012-05-01 14:00:00+00:00,-1.0,-1.0165230427310017,-1.0247845640965025,24.208616204174824,1,1,1,16.728568029395163,15.166522244737674
RISE_CANDLE,2012-05-02 06:00:00+00:00,2012-05-02 07:00:00+00:00,-1.0,-1.0127754889124896,-1.0191632333687344,31.309956334348172,1,1,-1,17.54467324415576,17.072755050714076
RISE_CANDLE,2012-05-08 06:00:00+00:00,2012-05-08 18:00:00+00:00,-0.425730214518089,-0.43715921356555454,-0.4428737130892873,34.998690466135145,-1,-1,-1,17.708437158400795,17.097335455039996
RISE_CANDLE,2012-05-14 06:00:00+00:00,2012-05-14 13:00:00+00:00,1.5,1.4884445845254246,1.482666876788137,34.615804241751036,-1,-1,-1,32.16889980019875,31.781514636018738
RISE_CANDLE,2012-05-16 06:00:00+00:00,2012-05-16 08:00:00+00:00,-1.0,-1.010162742413381,-1.0152441136200714,39.359454734711605,-1,-1,-1,56.94725139676093,55.40818551745654
RISE_CANDLE,2012-05-23 06:00:00+00:00,2012-05-23 14:00:00+00:00,1.5,1.49137082475131,1.4870562371269649,46.35437205435371,-1,-1,-1,41.45037726278809,40.54573294622429
RISE_CANDLE,2012-06-25 06:00:00+00:00,2012-06-25 18:00:00+00:00,0.0628789547816909,0.05320526943065881,0.04836842675514277,41.3492878344781,-1,-1,-1,24.627704861960073,23.168823357752068
RISE_CANDLE,2012-07-12 06:00:00+00:00,2012-07-12 11:00:00+00:00,1.5,1.4888452459301067,1.48326786889516,35.85915005330307,-1,-1,-1,25.209564368197945,24.252518105751772
