n,ev,pf,wr,totalR,maxDD,annual_freq,ytd2026,pos_years,recent_pf,recent_ev,old_pf,old_ev,day_policy,combo,windows,distance260,quality
3794,-0.008675772002314534,0.9781149855262841,0.4599367422245651,-32.91587897678134,69.70603543317947,260.2142857142857,151,6,0.9859176922603459,-0.005637767228471288,1.0224261573527074,0.008605994306811752,MonFri,LON_H2+NY_OPEN+NY_H2,3,0.2142857142857224,False
3788,0.01646536619187217,1.0425464039013481,0.4662090813093981,62.370807134811784,37.89053685934294,259.64285714285717,153,9,1.0988914785446333,0.03777039520413346,1.0794487850234626,0.029731921502352286,MonFri,LON_H1+NY_OPEN+NY_H2,3,0.3571428571428328,True
3788,0.001466389382259834,1.0033650188324217,0.4553854276663147,5.554682980000251,64.25913088083642,260.35714285714283,143,6,1.0192645486480305,0.008436916147797879,1.0022084973663778,0.0009618042056021872,MonThu,LON_H1+LON_H2+LON_H3+NY_OPEN,4,0.3571428571428328,True
3790,0.03575382175084744,1.0949438010500618,0.47493403693931396,135.5069844357118,26.939427475143276,260.5,143,11,1.1553278061890293,0.05740974396348989,1.0847975819369577,0.030910594498416,MonFri,LON_OPEN+NY_H1+NY_H2,3,0.5,True
3787,0.04940576118108524,1.112700844043795,0.4684446791655664,187.09961759276982,47.128100991048676,260.57142857142856,139,11,1.1963403463080304,0.08376740241735202,1.0956503723495332,0.042031211730801064,MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,4,0.5714285714285552,True
3790,0.03886600222226285,1.0919471817430304,0.4641160949868074,147.3021484223762,41.330728037904905,260.64285714285717,141,10,1.1726646289623428,0.07082860016853317,1.0155734870834079,0.006680973782371486,MonThu,LON_OPEN+LON_H1+LON_H3+NY_H1,4,0.6428571428571672,True
3767,0.045821969652463386,1.1064501987337954,0.4629678789487656,172.61135968082957,38.53749574601777,259.14285714285717,139,11,1.1918579578426534,0.08046198390996591,1.0401946144188823,0.017540286136250416,MonThu,LON_OPEN+LON_H1+LON_H2+NY_H1,4,0.8571428571428328,True
3768,-0.002370906298285574,0.9944583966472589,0.4498407643312102,-8.933574931940043,67.05485121736086,258.92857142857144,143,8,1.0107497205144995,0.004632112187224065,0.9464627093898154,-0.023155805335666524,MonThu,LON_H1+LON_H2+LON_H3+NY_H1,4,1.0714285714285552,False
3769,-0.0028832749757697336,0.9927859743690587,0.4661713982488724,-10.867063383676125,63.19208045394743,258.7857142857143,146,8,0.8963945468634759,-0.04327271398543061,1.0419124393265293,0.016219781040391342,MonFri,LON_H3+NY_OPEN+NY_H1,3,1.2142857142857224,False
3801,-0.005915017426308321,0.9839231615666703,0.4648776637726914,-22.48298123739793,51.021547520343546,261.2142857142857,144,7,0.9667045021513676,-0.01252244815601251,0.9825732888437355,-0.0062186742659144255,MonFri,LON_H3+NY_H1+NY_H2,3,1.2142857142857224,False
3799,0.01945112064759099,1.045420636967213,0.45985785733087653,73.89480734019817,41.86449926708072,261.35714285714283,140,8,1.0700106417849444,0.029787804982802816,0.9870751370710348,-0.005601594264271779,MonThu,LON_OPEN+LON_H2+LON_H3+NY_H1,4,1.3571428571428328,True
3758,0.03914925553204725,1.0958365965467574,0.47631718999467804,147.12290228943357,25.107700203652684,258.07142857142856,145,12,1.0671296381712252,0.027640689810607875,1.1368144248345438,0.05415652155172484,MonFri,LON_OPEN+NY_OPEN+NY_H1,3,1.9285714285714448,True
3810,0.04246467357856076,1.0986134969709167,0.4695538057742782,161.79040633431651,59.0884307572181,262.07142857142856,141,11,1.1776658598493204,0.07416734480499554,1.0723166784388949,0.031248353328477835,MonThu,LON_OPEN+LON_H1+LON_H3+NY_OPEN,4,2.071428571428555,True
3820,0.002963278621729987,1.0072016326258988,0.45523560209424085,11.319724335008551,63.59422028120423,262.64285714285717,143,6,1.0865230521038622,0.03485655297325939,0.9603315161558259,-0.016468873979044594,MonThu,LON_H1+LON_H2+LON_H3+NY_H2,4,2.642857142857167,True
3750,-0.00831953400318814,0.9781087572101443,0.45893333333333336,-31.19825251195553,53.57381322891088,257.2857142857143,148,7,0.9866246440548788,-0.005170089987406653,0.9681692729843142,-0.011805157298051098,MonFri,LON_H2+NY_H1+NY_H2,3,2.7142857142857224,False
3819,0.02314298644989224,1.05306631363704,0.46530505367897357,88.38306525213846,52.77835685124947,262.7857142857143,140,10,1.0772604616131907,0.03342206847022092,1.0431366361371441,0.018826187468775412,MonThu,LON_OPEN+LON_H2+LON_H3+NY_OPEN,4,2.7857142857142776,True
3819,0.05050135086351876,1.1219691569816275,0.46818538884524746,192.86465894777814,39.27650641045514,262.85714285714283,139,10,1.2788172555621204,0.10906266321599864,1.0572829705014057,0.02396960637139953,MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,4,2.857142857142833,True
