period,trades,unique_days,wr,pf,ev,ev_comm,ev_stress,total_R
TRAIN_2012_2021,1153,1153,0.5151777970511708,1.2006168720227883,0.0843332626148453,0.06967500201957409,0.06234587172193851,97.23625179491664
OOS_2022_2026,517,517,0.5589941972920697,1.4096694021151024,0.15724740416684546,0.141890450943167,0.13421197433132778,81.2969079542591
YTD_2026,63,63,0.6349206349206349,1.6510165222573965,0.2038313707218314,0.18713249719056954,0.1787830604249386,12.84137635547538
FULL_2012_2026,1670,1670,0.5287425149700599,1.2613452438422208,0.10690608368214115,0.0920315212372373,0.08459424001478537,178.53315974917572
