buffer,year,trades,payouts,breaches,gross_requested,user_paid
0.0,2012,160,1,1,13111.481696754316,10489.185357403454
0.0,2013,149,1,1,12334.854731635307,9867.883785308246
0.0,2014,141,4,4,52288.97066528065,41831.17653222452
0.0,2015,156,1,2,12162.530398439878,9730.024318751903
0.0,2016,158,2,2,24926.989697886107,19941.59175830889
0.0,2017,165,2,2,26715.681106196134,21372.544884956907
0.0,2018,176,3,5,38590.48246270331,30872.38597016265
0.0,2019,162,2,3,26551.46111010984,21241.168888087876
0.0,2020,181,3,2,37511.11012725084,30008.888101800672
0.0,2021,168,4,4,51017.07551015922,40813.66040812738
0.0,2022,163,5,4,64349.81556914767,51479.85245531814
0.0,2023,159,3,4,39309.572358434205,31447.657886747365
0.0,2024,161,1,1,12163.100165451033,9730.480132360826
0.0,2025,160,2,2,26197.491997206176,20957.993597764944
0.0,2026,92,2,1,25055.887220740406,20044.709776592324
4000.0,2012,160,1,0,9111.481696754316,7289.185357403453
4000.0,2013,149,2,2,22235.45153373998,17788.361226991983
4000.0,2014,141,3,2,25064.817758685735,20051.85420694859
4000.0,2015,156,1,1,12605.267057992663,10084.213646394132
4000.0,2016,158,3,2,25274.89639186117,20219.917113488937
4000.0,2017,165,2,2,18303.023291442398,14642.41863315392
4000.0,2018,176,3,3,40012.59291869853,32010.074334958827
4000.0,2019,162,1,1,8958.59198631189,7166.873589049513
4000.0,2020,181,3,1,33488.36869189376,26790.694953515012
4000.0,2021,168,4,1,45877.18806192369,36701.75044953895
4000.0,2022,163,5,2,54405.12369259956,43524.09895407966
4000.0,2023,159,2,1,20439.111482076434,16351.28918566115
4000.0,2024,161,2,2,24120.54374794537,19296.434998356293
4000.0,2025,160,2,2,17161.38320696188,13729.106565569506
4000.0,2026,92,2,1,16443.52783449454,13154.822267595633
