day_policy,completed_years,avg_annual_maxDD_R,median_annual_maxDD_R,worst_annual_maxDD_R,worst_DD_year,best_annual_maxDD_R,avg_annual_totalR,median_annual_totalR,profitable_years
MonThu,14,13.485679635639686,12.552795405947482,23.188712247559316,2012,6.460146026815687,12.21502497773754,10.324649788093634,12
MonFri,14,14.478251451803672,15.114965180750067,20.260541247232602,2018,6.286408061415546,14.262844295822847,13.31116305796381,13
