filter,sl_atr,rr,period,trades,wr,pf,ev,ev_comm,ev_stress,total,maxdd,positive_years,years
NONE,1.0,0.5,OOS,190,0.3263157894736842,0.2421875,-0.5105263157894737,-0.5476731264448651,-0.5662465317725608,-97.0,97.0,0,5
NONE,1.0,0.5,YTD2026,28,0.25,0.16666666666666666,-0.625,-0.6652734862873644,-0.6854102294310466,-17.5,17.5,0,1
NONE,1.0,0.5,FULL,612,0.3431372549019608,0.26119402985074625,-0.4852941176470588,-0.5202964902519528,-0.5377976765543997,-297.0,297.5,0,15
NONE,1.0,0.6,TRAIN,422,0.32701421800947866,0.2915492957746479,-0.47677725118483416,-0.5108141185063286,-0.5278325521670759,-201.20000000000002,202.40000000000026,0,10
NONE,1.0,0.6,OOS,190,0.2894736842105263,0.2444444444444445,-0.5368421052631579,-0.5739889159185494,-0.5925623212462452,-102.0,102.0000000000001,0,5
NONE,1.0,0.6,YTD2026,28,0.25,0.2,-0.6,-0.6402734862873645,-0.6604102294310467,-16.8,16.800000000000004,0,1
NONE,1.0,0.6,FULL,612,0.315359477124183,0.2763723150357995,-0.49542483660130715,-0.530427209206201,-0.547928395508648,-303.2,303.79999999999984,0,15
NONE,1.0,0.75,TRAIN,422,0.2962085308056872,0.31565656565656564,-0.4816350710900474,-0.5156719384115419,-0.5326903720722891,-203.25,204.75,0,10
NONE,1.0,0.75,OOS,190,0.26842105263157895,0.2751798561151079,-0.5302631578947369,-0.5674099685501283,-0.585983373877824,-100.75,100.75,0,5
NONE,1.0,0.75,YTD2026,28,0.25,0.25,-0.5625,-0.6027734862873644,-0.6229102294310466,-15.75,15.75,0,1
NONE,1.0,0.75,FULL,612,0.2875816993464052,0.30275229357798167,-0.49673202614379086,-0.5317343987486848,-0.5492355850511317,-304.0,304.75,0,15
NONE,1.0,1.0,TRAIN,422,0.25829383886255924,0.34824281150159747,-0.4834123222748815,-0.5174491895963761,-0.5344676232571233,-204.0,206.0,0,10
NONE,1.0,1.0,OOS,190,0.18421052631578946,0.22580645161290322,-0.631578947368421,-0.6687257580238124,-0.6872991633515082,-120.0,120.0,0,5
NONE,1.0,1.0,YTD2026,28,0.14285714285714285,0.16666666666666666,-0.7142857142857143,-0.7545592005730787,-0.774695943716761,-20.0,20.0,0,1
NONE,1.0,1.0,FULL,612,0.23529411764705882,0.3076923076923077,-0.5294117647058824,-0.5644141373107763,-0.5819153236132232,-324.0,325.0,0,15
NONE,1.25,0.2,TRAIN,422,0.5710900473933649,0.2662983425414365,-0.314691943127962,-0.3419214369851577,-0.3555361839137555,-132.79999999999995,133.1999999999996,0,10
NONE,1.25,0.2,OOS,190,0.5947368421052631,0.29350649350649355,-0.28631578947368425,-0.3160332379979974,-0.330891962260154,-54.400000000000006,54.39999999999987,0,5
NONE,1.25,0.2,YTD2026,28,0.6071428571428571,0.30909090909090914,-0.2714285714285714,-0.3036473604584629,-0.31975675497340866,-7.6,7.799999999999999,0,1
