dt,day,R,R_comm,R_stress,setup,priority
2012-05-02 06:00:00+00:00,2012-05-02,-1.0,-1.0127754889124896,-1.0191632333687344,BASE,0
2012-05-03 08:00:00+00:00,2012-05-03,-1.0,-1.0132186330734476,-1.0198279496101716,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-05-08 06:00:00+00:00,2012-05-08,-0.425730214518089,-0.43715921356555454,-0.4428737130892873,BASE,0
2012-05-14 06:00:00+00:00,2012-05-14,1.5,1.4884445845254246,1.482666876788137,BASE,0
2012-05-16 06:00:00+00:00,2012-05-16,-1.0,-1.010162742413381,-1.0152441136200714,BASE,0
2012-05-23 06:00:00+00:00,2012-05-23,1.5,1.49137082475131,1.4870562371269649,BASE,0
2012-05-24 06:00:00+00:00,2012-05-24,0.6,0.5931019919436757,0.5896529879155137,BASE,0
2012-05-28 07:00:00+00:00,2012-05-28,0.8545650802344815,0.8467608329264041,0.8428587092723655,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-05-30 06:00:00+00:00,2012-05-30,0.6,0.5907954471418667,0.5861931707128001,BASE,0
2012-06-04 07:00:00+00:00,2012-06-04,1.2166325910856632,1.2096202994943914,1.2061141536987554,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-06-06 07:00:00+00:00,2012-06-06,-1.0,-1.0077213063971866,-1.0115819595957798,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-06-14 06:00:00+00:00,2012-06-14,0.6,0.5918347212001123,0.5877520818001685,BASE,0
2012-06-20 08:00:00+00:00,2012-06-20,0.3,0.2894439121170521,0.2841658681755782,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-06-25 06:00:00+00:00,2012-06-25,0.0628789547816909,0.05320526943065881,0.04836842675514277,BASE,0
2012-06-26 08:00:00+00:00,2012-06-26,0.3,0.2888531675121394,0.2832797512682091,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-06-28 07:00:00+00:00,2012-06-28,0.10449912760267625,0.09454682973575676,0.08957068080229702,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-07-05 07:00:00+00:00,2012-07-05,1.5,1.4872488077989647,1.4808732116984469,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-07-10 08:00:00+00:00,2012-07-10,0.3,0.2875013813946772,0.28125207209201575,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-07-12 06:00:00+00:00,2012-07-12,1.5,1.4888452459301067,1.48326786889516,BASE,0
2012-07-16 08:00:00+00:00,2012-07-16,0.3,0.2873807682895979,0.2810711524343969,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-07-17 06:00:00+00:00,2012-07-17,0.6,0.5900467249855398,0.5850700874783098,BASE,0
2012-07-23 06:00:00+00:00,2012-07-23,-1.0,-1.009810152289652,-1.0147152284344783,BASE,0
2012-07-30 08:00:00+00:00,2012-07-30,0.3,0.2908444550513911,0.28626668257708665,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-08-08 07:00:00+00:00,2012-08-08,-1.0,-1.0118425014301968,-1.0177637521452954,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-08-09 07:00:00+00:00,2012-08-09,1.5,1.4880931803591573,1.482139770538736,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-08-14 06:00:00+00:00,2012-08-14,-1.0,-1.013298244799229,-1.0199473671988435,BASE,0
2012-08-16 07:00:00+00:00,2012-08-16,1.5,1.485970265391327,1.4789553980869905,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-08-20 06:00:00+00:00,2012-08-20,-1.0,-1.012147407326329,-1.0182211109894936,BASE,0
2012-08-21 06:00:00+00:00,2012-08-21,1.5,1.4852108492541474,1.4778162738812213,BASE,0
2012-08-23 06:00:00+00:00,2012-08-23,0.02626981298531769,0.01671715371793417,0.01194082408424241,BASE,0
2012-08-27 06:00:00+00:00,2012-08-27,-1.0,-1.012769436698629,-1.0191541550479435,BASE,0
2012-08-28 06:00:00+00:00,2012-08-28,-1.0,-1.015233987974466,-1.0228509819616993,BASE,0
2012-08-29 08:00:00+00:00,2012-08-29,-1.0,-1.0145377613750566,-1.021806642062585,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-08-30 06:00:00+00:00,2012-08-30,1.5,1.48538898846775,1.478083482701625,BASE,0
2012-09-04 07:00:00+00:00,2012-09-04,1.5,1.485990072918654,1.4789851093779809,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-09-10 06:00:00+00:00,2012-09-10,-0.6706028161127829,-0.6812052321778075,-0.6865064402103198,BASE,0
2012-09-11 06:00:00+00:00,2012-09-11,-1.0,-1.0119229498358502,-1.0178844247537753,BASE,0
2012-09-12 08:00:00+00:00,2012-09-12,0.3,0.28944014367574133,0.284160215513612,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-09-18 06:00:00+00:00,2012-09-18,-1.0,-1.009916922624812,-1.014875383937218,BASE,0
2012-09-19 08:00:00+00:00,2012-09-19,0.3,0.2893257981167504,0.28398869717512565,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-09-20 06:00:00+00:00,2012-09-20,-0.12730434069053892,-0.13656283819530454,-0.14119208694768734,BASE,0
2012-09-25 06:00:00+00:00,2012-09-25,0.20818334445872452,0.19838648119007887,0.19348804955575605,BASE,0
2012-09-26 06:00:00+00:00,2012-09-26,-1.0,-1.0099406147724965,-1.0149109221587447,BASE,0
2012-09-27 06:00:00+00:00,2012-09-27,-1.0,-1.0115588858816529,-1.0173383288224793,BASE,0
2012-10-03 06:00:00+00:00,2012-10-03,-1.0,-1.0127254351998352,-1.0190881527997526,BASE,0
2012-10-04 06:00:00+00:00,2012-10-04,1.5,1.4880272499722804,1.4820408749584206,BASE,0
2012-10-08 07:00:00+00:00,2012-10-08,-0.20895653412059528,-0.2202514819108983,-0.2258989558060498,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-10-10 06:00:00+00:00,2012-10-10,0.6273562169431013,0.6179222888687693,0.6132053248316033,BASE,0
2012-10-15 06:00:00+00:00,2012-10-15,0.5527837768863468,0.5424994275489269,0.537357252880217,BASE,0
2012-10-16 06:00:00+00:00,2012-10-16,1.5,1.488470113200432,1.482705169800648,BASE,0
2012-10-17 06:00:00+00:00,2012-10-17,0.2963812610483096,0.2865018856800315,0.2815621979958925,BASE,0
2012-10-23 06:00:00+00:00,2012-10-23,1.5,1.486377126360715,1.4795656895410725,BASE,0
2012-10-25 06:00:00+00:00,2012-10-25,1.1663715022167251,1.155934173337828,1.1507155088983798,BASE,0
2012-10-29 07:00:00+00:00,2012-10-29,0.033287262052304444,0.0211828031241753,0.015130573660110728,BASE,0
2012-10-31 07:00:00+00:00,2012-10-31,1.5,1.4852444393284774,1.4778666589927163,BASE,0
2012-11-05 08:00:00+00:00,2012-11-05,-0.2803807791599576,-0.29021870123574633,-0.29513766227364063,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-11-07 08:00:00+00:00,2012-11-07,1.5,1.490368591129615,1.4855528866944225,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-11-08 09:00:00+00:00,2012-11-08,-0.657464558691177,-0.668068825766841,-0.6733709593046731,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-11-13 07:00:00+00:00,2012-11-13,-1.0,-1.0156137577318776,-1.0234206365978165,BASE,0
2012-11-15 08:00:00+00:00,2012-11-15,0.38024425753753194,0.36880834001760665,0.363090381257644,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-11-19 07:00:00+00:00,2012-11-19,-1.0,-1.0121670738349169,-1.0182506107523752,BASE,0
2012-11-21 07:00:00+00:00,2012-11-21,1.286598544951932,1.2771901460857384,1.2724859466526417,BASE,0
2012-11-22 07:00:00+00:00,2012-11-22,0.8704798916389681,0.8573899684564267,0.850845006865156,BASE,0
2012-11-28 07:00:00+00:00,2012-11-28,-1.0,-1.0137403687633424,-1.0206105531450138,BASE,0
2012-11-29 08:00:00+00:00,2012-11-29,-0.10496926236464606,-0.1173185873487218,-0.12349324984075968,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-12-03 07:00:00+00:00,2012-12-03,0.5825063224129401,0.5709141567927825,0.5651180739827036,BASE,0
2012-12-04 07:00:00+00:00,2012-12-04,0.7070070033786783,0.6945487301913887,0.688319593597744,BASE,0
2012-12-05 07:00:00+00:00,2012-12-05,-1.0,-1.0139240040005564,-1.0208860060008347,BASE,0
2012-12-11 07:00:00+00:00,2012-12-11,0.6,0.5878644536787365,0.5817966805181047,BASE,0
2012-12-12 07:00:00+00:00,2012-12-12,0.6,0.5866236796913477,0.5799355195370215,BASE,0
2012-12-13 07:00:00+00:00,2012-12-13,0.30431211590456714,0.29189121321458456,0.2856807618695933,BASE,0
2012-12-19 09:00:00+00:00,2012-12-19,0.3,0.2847907250450648,0.27718608756759716,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-12-24 08:00:00+00:00,2012-12-24,-1.0,-1.0127335817271277,-1.0191003725906915,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-12-26 09:00:00+00:00,2012-12-26,0.3,0.2813364614527439,0.2720046921791158,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-12-27 07:00:00+00:00,2012-12-27,-1.0,-1.0150998688018855,-1.0226498032028284,BASE,0
2012-12-31 07:00:00+00:00,2012-12-31,-1.0,-1.0118563882512333,-1.0177845823768497,BASE,0
2013-01-08 07:00:00+00:00,2013-01-08,-1.0,-1.009402824519381,-1.0141042367790711,BASE,0
2013-01-10 09:00:00+00:00,2013-01-10,0.3,0.28766624633724014,0.2814993695058602,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-01-16 07:00:00+00:00,2013-01-16,-1.0,-1.0083664237324155,-1.0125496355986232,BASE,0
2013-01-17 08:00:00+00:00,2013-01-17,0.47145918846288515,0.4637931853984484,0.45996018386623,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-01-21 07:00:00+00:00,2013-01-21,-0.10105782050244731,-0.11024489509357897,-0.1148384323891448,BASE,0
2013-01-22 07:00:00+00:00,2013-01-22,1.5,1.4877235272713887,1.481585290907083,BASE,0
2013-01-23 07:00:00+00:00,2013-01-23,-1.0,-1.011136366123311,-1.0167045491849667,BASE,0
2013-01-30 09:00:00+00:00,2013-01-30,0.3,0.28628458230435067,0.279426873456526,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-01-31 07:00:00+00:00,2013-01-31,0.6,0.589256061115928,0.583884091673892,BASE,0
2013-02-04 08:00:00+00:00,2013-02-04,1.5,1.491038438104716,1.486557657157074,LON_H1|RISE_CANDLE|2.25|1.5,1
