period,trades,unique_days,ev,ev_comm,total_R
TRAIN_2012_2021,750,750,0.10173727048361805,0.08698254675485804,76.30295286271354
OOS_2022_2026,325,325,0.22072141557270392,0.20553603564343198,71.73446006112877
YTD_2026,34,34,0.24756642909373194,0.23102883656370352,8.417258589186886
FULL_2012_2026,1075,1075,0.13770922132450447,0.12282429920954323,148.0374129238423
