slot,period,trades,wr,raw_ev_r,raw_pf,comm_ev_r,comm_pf,stress02_ev_r,stress02_pf,avg_stop_pips,avg_lots,avg_commission,comm_ev_usd,stress02_ev_usd
LON_OPEN,FULL_2012_2026,2678,0.7972367438386856,-0.0010464596545775532,0.9947703666015912,-0.016218868434248995,0.9201974806863161,-0.023805072824084717,0.8837673385086803,29.71180839135341,10.241375926278224,40.965503705112894,-43.79094477247229,-64.27369662502873
LON_OPEN,YTD_2026,108,0.8148148148148148,0.026201493402559322,1.1476122092119685,0.00913438343675341,1.0505418411751772,0.0006008284538504487,1.0032950525167457,25.395246034350098,11.520299226918993,46.081196907675974,24.66283527923421,1.6222368253962116
LON_H1,FULL_2012_2026,2351,0.803913228413441,0.012968185904314249,1.069112203190213,-0.0014575889810519108,0.9923454226618234,-0.00867047642373499,0.954796785154748,31.23085100679903,9.737398047622158,38.94959219048863,-3.9354902488401593,-23.410286344084472
LON_H1,YTD_2026,94,0.851063829787234,0.06847621981359775,1.4745744287626785,0.051821291207972985,1.3532356442129931,0.043493826905160626,1.2940520112271083,25.814655536374822,11.242076808796698,44.96830723518679,139.91748626152705,117.4333326439337
LON_H2,FULL_2012_2026,2355,0.7859872611464969,-0.0065165307846185615,0.9678851557046259,-0.020472732581670934,0.900554065974732,-0.02745083348019712,0.8676088962017403,32.249386917042024,9.420436213010351,37.681744852041405,-55.276377970511525,-74.11725039653223
LON_H2,YTD_2026,93,0.7311827956989247,-0.06807988762335665,0.728630878117321,-0.08471587908792107,0.6679651347769963,-0.09303387482020328,0.6383866980723638,25.901812657242836,11.229294238580986,44.91717695432394,-228.7328735373869,-251.19146201454888
NY_OPEN,FULL_2012_2026,2744,0.7452623906705539,-0.044637154413481345,0.8063159445772496,-0.058050764013425425,0.7519149039151836,-0.06475756881339746,0.7253255645062237,33.44995506297188,9.054186479962254,36.21674591984902,-156.73706283624864,-174.84543579617315
NY_OPEN,YTD_2026,110,0.7454545454545455,-0.0667222706590622,0.7348159986788253,-0.08264490918812961,0.6767903462936423,-0.0906062284526633,0.6484686299824933,27.094158273027432,10.747781007120501,42.991124028482005,-223.14125480794996,-244.63681682219092
NY_H1,FULL_2012_2026,2414,0.7667771333885667,-0.0002493449576115678,0.9986958420824381,-0.012893056923660438,0.9335891576741882,-0.01921491290668487,0.9017725196232381,35.45411403063041,8.534505577082987,34.13802230833195,-34.81125369388318,-51.88026484804915
NY_H1,YTD_2026,103,0.7087378640776699,-0.07915634840614759,0.6912066126358797,-0.09435982333274794,0.6382962946584709,-0.10196156079604811,0.6125250565000928,28.29613587898565,10.262345575455232,41.04938230182093,-254.7715229984194,-275.2962141493299
NY_H2,FULL_2012_2026,2586,0.7575406032482599,0.007401738412512421,1.041000005161015,-0.0048457658168207796,0.9735923120743374,-0.010969517931487392,0.9407006896743656,36.56373896637385,8.267065354799914,33.06826141919966,-13.083567705416105,-29.61769841501596
NY_H2,YTD_2026,106,0.7830188679245284,-5.742695780841941e-05,0.9997017991371379,-0.014848019954012656,0.924089922124612,-0.022243316452114796,0.8871534157583018,28.878893781615076,9.983650272437869,39.934601089751474,-40.08965387583417,-60.05695442070995
