period,cost_model,risk_pct,trades,payouts,breaches,accounts_used,resolved_accounts,successful_accounts,payout_before_breach_rate,user_payouts,activation_costs,net_cash,avg_payout,avg_first_payout_days,median_first_payout_days,median_payout_gap_days,first_payout_date,total_trading_costs,avg_trading_cost_per_trade,max_lots,net_cash_per_year
FULL_2012_2026,COMMISSION,0.029,930,26,65,66,65,23,0.35384615384615387,481641.2605085027,36234.0,445407.2605085027,18524.663865711642,109.8695652173913,71.0,134.0,2012-10-31,40605.82079624619,43.66217289918945,25.345836184896122,30666.352855934143
FULL_2012_2026,COMM_PLUS_0P2,0.005,930,20,22,23,22,20,0.9090909090909091,63440.24325667752,12627.0,50813.24325667752,3172.0121628338757,228.9,169.5,197.0,2012-10-31,10501.505378339525,11.291941267031747,4.3699717560165725,3498.4989819983907
FULL_2012_2026,COMM_PLUS_0P2,0.006,930,20,22,23,22,19,0.8636363636363636,77306.2544167406,12627.0,64679.2544167406,3865.31272083703,228.10526315789474,205.0,224.0,2013-02-25,12601.806454007448,13.550329520438117,5.243966107219887,4453.175810690765
FULL_2012_2026,COMM_PLUS_0P2,0.0075,930,20,24,25,24,19,0.7916666666666666,95815.54731241439,13725.0,82090.54731241439,4790.777365620719,206.68421052631578,173.0,189.0,2013-10-24,15752.258067509305,16.93791190054764,6.554957634024858,5651.9457880979
FULL_2012_2026,COMM_PLUS_0P2,0.008,930,23,28,29,28,21,0.75,116795.29325922718,15921.0,100874.29325922718,5078.056228662052,178.9047619047619,173.0,193.0,2013-10-24,16802.408605343226,18.06710602725078,6.991954809626516,6945.2093521079605
FULL_2012_2026,COMM_PLUS_0P2,0.01,930,23,34,35,34,21,0.6176470588235294,148644.8815968654,19215.0,129429.8815968654,6462.820938994148,139.52380952380952,129.0,182.5,2012-10-31,21003.01075667905,22.583882534063495,8.739943512033145,8911.265646230931
FULL_2012_2026,COMM_PLUS_0P2,0.0125,930,22,34,35,34,19,0.5588235294117647,178911.7362051655,19215.0,159696.7362051655,8132.351645689341,146.68421052631578,132.0,169.0,2013-02-25,26253.763445848806,28.22985316757936,10.92492939004143,10995.142865021056
FULL_2012_2026,COMM_PLUS_0P2,0.015,930,23,40,41,40,20,0.5,222764.37522734643,22509.0,200255.37522734643,9685.40761858028,147.25,124.5,167.0,2013-02-25,31504.51613501861,33.87582380109528,13.109915268049717,13787.61089571881
FULL_2012_2026,COMM_PLUS_0P2,0.0175,930,24,49,50,49,22,0.4489795918367347,268897.62939869805,27450.0,241447.62939869805,11204.067891612418,127.22727272727273,102.5,182.0,2012-10-31,36755.268824188344,39.521794434611124,15.294901146058006,16623.70341901498
FULL_2012_2026,COMM_PLUS_0P2,0.02,930,23,52,53,53,21,0.39622641509433965,306084.9957030174,29097.0,276987.9957030174,13308.043291435539,140.33333333333334,121.0,162.5,2013-02-21,42006.0215133581,45.16776506812699,17.47988702406629,19070.662663624338
