slot1,slot2,period,cost_model,trades_used,payouts,breaches,accounts_used,user_paid,account_costs,net_cash,avg_payout,payout_before_breach_rate,resolved_accounts,successful_accounts,avg_first_payout_days,median_first_payout_days,first_portfolio_payout_date,first_portfolio_payout_days,median_gap_days,slot1_used,slot2_used
LON_H1,LON_H2,YTD_2026,COMM_PLUS_0P2,187,9,13,15,24930.08016469834,8235.0,16695.08016469834,2770.008907188704,0.6153846153846154,13,8,23.375,22.0,2026-02-23,53,13.5,94,93
LON_H1,NY_OPEN,FULL_2012_2026,COMMISSION,5095,200,315,317,630548.2953508502,174033.0,456515.2953508502,3152.741476754251,0.4634920634920635,315,146,29.458904109589042,23.5,2012-02-15,45,18.0,2351,2744
LON_H1,NY_OPEN,FULL_2012_2026,COMM_PLUS_0P2,5095,203,325,327,622685.0413254818,179523.0,443162.04132548184,3067.4139966772505,0.4584615384615385,325,149,28.21476510067114,22.0,2012-02-15,45,18.0,2351,2744
LON_H1,NY_OPEN,YTD_2026,COMMISSION,204,9,12,14,26762.47805189902,7686.0,19076.47805189902,2973.6086724332245,0.5833333333333334,12,7,39.714285714285715,44.0,2026-03-02,60,16.0,94,110
LON_H1,NY_OPEN,YTD_2026,COMM_PLUS_0P2,204,8,11,13,22472.670797396186,7137.0,15335.670797396186,2809.083849674523,0.5454545454545454,11,6,47.166666666666664,44.0,2026-03-02,60,17.0,94,110
LON_H1,NY_H1,FULL_2012_2026,COMMISSION,4765,228,284,286,708563.1950746463,157014.0,551549.1950746463,3107.7333117309045,0.5669014084507042,284,161,28.96273291925466,23.0,2012-01-17,16,17.0,2351,2414
LON_H1,NY_H1,FULL_2012_2026,COMM_PLUS_0P2,4765,222,290,292,676768.842115718,160308.0,516460.84211571806,3048.5082978185496,0.5517241379310345,290,160,28.45625,22.5,2012-01-17,16,17.0,2351,2414
LON_H1,NY_H1,YTD_2026,COMMISSION,197,8,12,14,23501.983897088703,7686.0,15815.983897088703,2937.747987136088,0.6666666666666666,12,8,37.375,33.0,2026-02-03,33,17.0,94,103
LON_H1,NY_H1,YTD_2026,COMM_PLUS_0P2,197,7,11,13,19128.506620294414,7137.0,11991.506620294414,2732.643802899202,0.6363636363636364,11,7,43.0,36.0,2026-02-03,33,28.5,94,103
LON_H1,NY_H2,FULL_2012_2026,COMMISSION,4937,223,271,273,689418.2063175659,149877.0,539541.2063175659,3091.56146330747,0.5698529411764706,272,155,32.05161290322581,23.0,2012-02-07,37,17.0,2351,2586
LON_H1,NY_H2,FULL_2012_2026,COMM_PLUS_0P2,4937,221,284,286,670523.3558448998,157014.0,513509.3558448998,3034.042334139818,0.5578947368421052,285,159,30.761006289308177,21.0,2012-02-08,38,17.0,2351,2586
