period,rr,risk_pct,account_size,accounts,tp_atr,sl_atr,signals,wr,ev,pf,totalR,trades_used,lon_open_used,lon_h1_used,payouts,breaches,accounts_used,user_paid,account_costs,net_cash,avg_payout,payout_before_breach_rate,resolved_accounts,successful_accounts,avg_first_payout_days,median_first_payout_days,first_portfolio_payout_date,first_portfolio_payout_days,median_gap_days
FULL_2012_2026,0.25,0.027,100000.0,2,0.5625,2.25,5029,0.8003579240405647,0.005505226905166856,1.0283371547826443,27.685786106084116,5029,2678,2351,244,239,241,767427.1759144096,132309.0,635118.1759144096,3145.1933439115146,0.625,240,150,33.24666666666667,22.5,2012-03-09,68,16.0
YTD_2026,0.25,0.027,100000.0,2,0.5625,2.25,202,0.8316831683168316,0.04587389084135938,1.2830902071618562,9.266525949954595,202,108,94,11,5,7,34560.0,3843.0,30717.0,3141.818181818182,0.6666666666666666,6,4,36.0,29.0,2026-02-09,39,11.5
