trade_day,account,window,R,pnl,balance_after_trade,floor_before,exit_dt
2025-04-10,1,LON_H1,1.5,2400.0,207200.0,200000.0,2025-04-10 14:00:00+00:00
2025-04-11,1,LON_H1,-0.2569830446408858,-411.17287142541727,206788.82712857457,200000.0,2025-04-11 19:00:00+00:00
2025-04-14,1,LON_OPEN,-1.0,-1600.0,205188.82712857457,200000.0,2025-04-14 13:00:00+00:00
2025-04-15,1,NY_H1,-0.1353917701206543,-216.62683219304685,204972.20029638152,200000.0,2025-04-16 00:00:00+00:00
2025-04-16,1,LON_OPEN,-0.4995589679233174,-799.2943486773078,204172.90594770422,200000.0,2025-04-16 18:00:00+00:00
2025-04-22,1,NY_H1,1.5,2400.0,206572.90594770422,200000.0,2025-04-22 21:00:00+00:00
2025-04-29,1,NY_H1,-0.6933182587170109,-1109.3092139472174,205463.596733757,200000.0,2025-04-30 00:00:00+00:00
2025-05-01,1,LON_H1,-1.0,-1600.0,203863.596733757,200000.0,2025-05-01 14:00:00+00:00
2025-05-05,1,NY_H1,-1.0,-1600.0,202263.596733757,200000.0,2025-05-05 15:00:00+00:00
2025-05-06,1,LON_H1,-1.0,-1600.0,200663.596733757,200000.0,2025-05-06 09:00:00+00:00
2025-05-07,1,LON_H1,1.123982073715948,1798.371317945517,202461.9680517025,200000.0,2025-05-07 19:00:00+00:00
2025-05-08,1,LON_OPEN,-1.0,-1600.0,200861.9680517025,200000.0,2025-05-08 12:00:00+00:00
2025-05-12,1,LON_H1,0.1053993474457006,168.63895591312098,201030.60700761565,200000.0,2025-05-12 19:00:00+00:00
2025-05-14,1,LON_OPEN,1.5,2400.0,203430.60700761565,200000.0,2025-05-14 08:00:00+00:00
2025-05-16,1,LON_OPEN,1.5,2400.0,205830.60700761565,200000.0,2025-05-16 14:00:00+00:00
2025-05-19,1,LON_OPEN,1.5,2400.0,208230.60700761565,200000.0,2025-05-19 09:00:00+00:00
2025-05-20,1,LON_OPEN,-1.0,-1600.0,206630.60700761565,200000.0,2025-05-20 12:00:00+00:00
2025-05-21,1,LON_H1,-1.0,-1600.0,205030.60700761565,200000.0,2025-05-21 10:00:00+00:00
2025-05-23,1,LON_OPEN,-1.0,-1600.0,203430.60700761565,200000.0,2025-05-23 08:00:00+00:00
2025-05-26,1,LON_OPEN,0.6931745192161094,1109.079230745775,204539.68623836144,200000.0,2025-05-26 18:00:00+00:00
2025-05-28,1,LON_OPEN,-1.0,-1600.0,202939.68623836144,200000.0,2025-05-28 09:00:00+00:00
2025-06-02,1,LON_OPEN,0.966400044150624,1546.2400706409983,204485.92630900245,200000.0,2025-06-02 18:00:00+00:00
2025-06-03,1,NY_H1,-0.1650198420704274,-264.0317473126839,204221.89456168975,200000.0,2025-06-04 00:00:00+00:00
2025-06-04,1,NY_H1,0.4965121663597243,794.4194661755589,205016.3140278653,200000.0,2025-06-05 00:00:00+00:00
2025-06-05,1,NY_H1,0.0449359878340982,71.89758053455712,205088.21160839987,200000.0,2025-06-06 00:00:00+00:00
2025-06-06,1,NY_H1,-0.247225970598734,-395.5615529579744,204692.6500554419,200000.0,2025-06-09 00:00:00+00:00
2025-06-09,1,LON_H1,-0.1159792209799815,-185.5667535679704,204507.0833018739,200000.0,2025-06-09 19:00:00+00:00
2025-06-10,1,NY_H1,-0.5658452952469388,-905.3524723951022,203601.7308294788,200000.0,2025-06-11 00:00:00+00:00
2025-06-12,1,LON_OPEN,-1.0,-1600.0,202001.7308294788,200000.0,2025-06-12 08:00:00+00:00
2025-06-16,1,LON_OPEN,0.0856490352400119,137.03845638401904,202138.7692858628,200000.0,2025-06-16 18:00:00+00:00
2025-06-19,1,LON_OPEN,0.436072252510483,697.7156040167728,202836.48488987956,200000.0,2025-06-19 18:00:00+00:00
2025-06-20,1,LON_OPEN,-0.4880668937685254,-780.9070300296406,202055.57785984993,200000.0,2025-06-20 18:00:00+00:00
2025-06-24,1,LON_OPEN,-0.5353063350167379,-856.4901360267805,201199.08772382315,200000.0,2025-06-24 18:00:00+00:00
2025-06-26,1,LON_OPEN,0.549650340657658,879.4405450522529,202078.5282688754,200000.0,2025-06-26 18:00:00+00:00
2025-06-27,1,LON_OPEN,-0.4862755668648599,-778.0409069837758,201300.48736189163,200000.0,2025-06-27 18:00:00+00:00
2025-06-30,1,LON_H1,-1.0,-1600.0,199700.48736189163,200000.0,2025-06-30 15:00:00+00:00
2025-07-02,2,LON_OPEN,-0.8508909855834567,-1361.4255769335307,198638.57442306646,188000.0,2025-07-02 18:00:00+00:00
2025-07-07,2,LON_OPEN,1.5,2400.0,201038.57442306646,188000.0,2025-07-07 16:00:00+00:00
2025-07-08,2,NY_H1,-0.3191995593418943,-510.7192949470309,200527.85512811944,188000.0,2025-07-09 00:00:00+00:00
2025-07-10,2,NY_H1,1.5,2400.0,202927.85512811944,188000.0,2025-07-10 14:00:00+00:00
2025-07-15,2,LON_OPEN,1.5,2400.0,205327.85512811944,188000.0,2025-07-15 14:00:00+00:00
2025-07-16,2,NY_H1,-1.0,-1600.0,203727.85512811944,188000.0,2025-07-16 15:00:00+00:00
2025-07-17,2,NY_H1,0.739752463791855,1183.603942066968,204911.4590701864,188000.0,2025-07-18 00:00:00+00:00
2025-07-18,2,LON_H1,-0.3054660551672919,-488.74568826766705,204422.71338191873,188000.0,2025-07-18 19:00:00+00:00
2025-07-21,2,LON_OPEN,1.5,2400.0,206822.71338191873,188000.0,2025-07-21 14:00:00+00:00
2025-07-24,2,NY_H1,-1.0,-1600.0,205222.71338191873,188000.0,2025-07-24 13:00:00+00:00
2025-07-25,2,NY_H1,-1.0,-1600.0,203622.71338191873,188000.0,2025-07-25 18:00:00+00:00
2025-07-28,2,LON_OPEN,1.5,2400.0,206022.71338191873,188000.0,2025-07-28 09:00:00+00:00
2025-07-29,2,LON_OPEN,-1.0,-1600.0,204422.71338191873,188000.0,2025-07-29 09:00:00+00:00
2025-07-30,2,NY_H1,1.5,2400.0,206822.71338191873,188000.0,2025-07-30 20:00:00+00:00
2025-08-01,2,NY_H1,-0.0081654231199998,-13.06467699199968,206809.64870492672,188000.0,2025-08-04 00:00:00+00:00
2025-08-05,2,LON_OPEN,0.3617330850246879,578.7729360395006,207388.4216409662,188000.0,2025-08-05 18:00:00+00:00
2025-08-06,2,NY_H1,0.7364587108456374,1178.3339373530198,208566.75557831922,188000.0,2025-08-07 00:00:00+00:00
2025-08-07,2,LON_OPEN,-1.0,-1600.0,206966.75557831922,188000.0,2025-08-07 11:00:00+00:00
2025-08-08,2,LON_OPEN,0.0983436826848474,157.34989229575584,207124.10547061497,188000.0,2025-08-08 18:00:00+00:00
2025-08-13,2,LON_OPEN,0.1190925397981515,190.5480636770424,207314.653534292,188000.0,2025-08-13 18:00:00+00:00
2025-08-14,2,LON_H1,1.5,2400.0,209714.653534292,188000.0,2025-08-14 14:00:00+00:00
2025-08-18,2,LON_H1,0.5236987551123851,837.9180081798161,210552.57154247182,188000.0,2025-08-18 19:00:00+00:00
2025-08-21,2,LON_OPEN,-1.0,-1600.0,208952.57154247182,188000.0,2025-08-21 07:00:00+00:00
2025-08-22,2,LON_OPEN,1.5,2400.0,211352.57154247182,188000.0,2025-08-22 14:00:00+00:00
2025-08-27,2,LON_H1,-1.0,-1600.0,209752.57154247182,188000.0,2025-08-27 16:00:00+00:00
2025-09-01,2,LON_H1,-1.0,-1600.0,208152.57154247182,188000.0,2025-09-01 15:00:00+00:00
2025-09-02,2,LON_H1,-1.0,-1600.0,206552.57154247182,188000.0,2025-09-02 14:00:00+00:00
2025-09-03,2,LON_H1,1.5,2400.0,208952.57154247182,188000.0,2025-09-03 15:00:00+00:00
2025-09-04,2,LON_OPEN,0.2466145527418534,394.58328438696543,209347.15482685878,188000.0,2025-09-04 18:00:00+00:00
2025-09-05,2,LON_H1,1.5,2400.0,211747.15482685878,188000.0,2025-09-05 12:00:00+00:00
2025-09-08,2,LON_OPEN,1.132561055603147,1812.097688965035,213559.2525158238,188000.0,2025-09-08 18:00:00+00:00
2025-09-10,2,LON_OPEN,-1.0,-1600.0,202400.0,200000.0,2025-09-10 12:00:00+00:00
2025-09-12,2,LON_OPEN,-1.0,-1600.0,200800.0,200000.0,2025-09-12 08:00:00+00:00
2025-09-15,2,NY_H1,-0.3514935525584079,-562.3896840934526,200237.61031590655,200000.0,2025-09-16 00:00:00+00:00
2025-09-16,2,LON_OPEN,1.5,2400.0,202637.61031590655,200000.0,2025-09-16 13:00:00+00:00
2025-09-19,2,LON_OPEN,0.4822369648367086,771.5791437387337,203409.18945964528,200000.0,2025-09-19 18:00:00+00:00
2025-09-24,2,LON_OPEN,1.5,2400.0,205809.18945964528,200000.0,2025-09-24 11:00:00+00:00
2025-09-25,2,LON_H1,1.5,2400.0,208209.18945964528,200000.0,2025-09-25 12:00:00+00:00
2025-09-29,2,LON_OPEN,-1.0,-1600.0,206609.18945964528,200000.0,2025-09-29 12:00:00+00:00
2025-09-30,2,LON_OPEN,-1.0,-1600.0,205009.18945964528,200000.0,2025-09-30 13:00:00+00:00
2025-10-01,2,LON_OPEN,-1.0,-1600.0,203409.18945964528,200000.0,2025-10-01 07:00:00+00:00
2025-10-02,2,LON_OPEN,-1.0,-1600.0,201809.18945964528,200000.0,2025-10-02 13:00:00+00:00
2025-10-06,2,LON_OPEN,-1.0,-1600.0,200209.18945964528,200000.0,2025-10-06 14:00:00+00:00
2025-10-07,2,LON_OPEN,0.987203437397064,1579.5254998353023,201788.71495948057,200000.0,2025-10-07 18:00:00+00:00
2025-10-09,2,LON_H1,1.5,2400.0,204188.71495948057,200000.0,2025-10-09 15:00:00+00:00
2025-10-13,2,LON_OPEN,1.5,2400.0,206588.71495948057,200000.0,2025-10-13 12:00:00+00:00
2025-10-15,2,LON_OPEN,-1.0,-1600.0,204988.71495948057,200000.0,2025-10-15 13:00:00+00:00
2025-10-16,2,LON_OPEN,-1.0,-1600.0,203388.71495948057,200000.0,2025-10-16 14:00:00+00:00
2025-10-17,2,LON_OPEN,1.5,2400.0,205788.71495948057,200000.0,2025-10-17 14:00:00+00:00
2025-10-20,2,NY_H1,-0.1003426465346798,-160.54823445548766,205628.16672502508,200000.0,2025-10-21 00:00:00+00:00
2025-10-21,2,LON_OPEN,-1.0,-1600.0,204028.16672502508,200000.0,2025-10-21 10:00:00+00:00
2025-10-22,2,NY_H1,0.5819270319821085,931.0832511713736,204959.24997619644,200000.0,2025-10-23 00:00:00+00:00
2025-10-23,2,LON_H1,0.7631287804759322,1221.0060487614917,206180.25602495793,200000.0,2025-10-23 19:00:00+00:00
2025-10-27,2,NY_H1,-0.7445975397962221,-1191.3560636739553,204988.89996128398,200000.0,2025-10-28 00:00:00+00:00
2025-10-29,2,LON_H1,-1.0,-1600.0,203388.89996128398,200000.0,2025-10-29 09:00:00+00:00
2025-10-30,2,NY_H1,-0.5598114958981182,-895.6983934369891,202493.201567847,200000.0,2025-10-31 00:00:00+00:00
2025-10-31,2,LON_OPEN,-1.0,-1600.0,200893.201567847,200000.0,2025-10-31 13:00:00+00:00
2025-11-03,2,NY_H1,-1.0,-1600.0,199293.201567847,200000.0,2025-11-03 16:00:00+00:00
2025-11-05,3,NY_H1,-1.0,-1600.0,198400.0,188000.0,2025-11-05 23:00:00+00:00
2025-11-06,3,LON_OPEN,1.5,2400.0,200800.0,188000.0,2025-11-06 13:00:00+00:00
2025-11-07,3,NY_H1,-1.0,-1600.0,199200.0,188000.0,2025-11-09 23:00:00+00:00
2025-11-10,3,NY_H1,0.4687697031709527,750.0315250735243,199950.03152507351,188000.0,2025-11-11 01:00:00+00:00
2025-11-11,3,LON_OPEN,1.5,2400.0,202350.03152507351,188000.0,2025-11-11 13:00:00+00:00
2025-11-12,3,NY_H1,-1.0,-1600.0,200750.03152507351,188000.0,2025-11-12 15:00:00+00:00
2025-11-13,3,LON_OPEN,1.5,2400.0,203150.03152507351,188000.0,2025-11-13 16:00:00+00:00
2025-11-14,3,NY_H1,0.9025054213627938,1444.00867418047,204594.040199254,188000.0,2025-11-17 01:00:00+00:00
2025-11-17,3,LON_H1,0.456656044368068,730.6496709889088,205324.6898702429,188000.0,2025-11-17 20:00:00+00:00
2025-11-19,3,LON_OPEN,1.5,2400.0,207724.6898702429,188000.0,2025-11-19 15:00:00+00:00
2025-11-20,3,LON_OPEN,-1.0,-1600.0,206124.6898702429,188000.0,2025-11-20 13:00:00+00:00
2025-11-21,3,LON_OPEN,-1.0,-1600.0,204524.6898702429,188000.0,2025-11-21 09:00:00+00:00
2025-11-24,3,NY_H1,0.4605245045324939,736.8392072519902,205261.5290774949,188000.0,2025-11-25 01:00:00+00:00
2025-11-25,3,LON_OPEN,1.5,2400.0,207661.5290774949,188000.0,2025-11-25 13:00:00+00:00
2025-11-28,3,LON_OPEN,-1.0,-1600.0,206061.5290774949,188000.0,2025-11-28 15:00:00+00:00
2025-12-01,3,LON_OPEN,1.5,2400.0,208461.5290774949,188000.0,2025-12-01 13:00:00+00:00
2025-12-03,3,LON_OPEN,-1.0,-1600.0,206861.5290774949,188000.0,2025-12-03 10:00:00+00:00
2025-12-08,3,LON_OPEN,1.5,2400.0,209261.5290774949,188000.0,2025-12-08 15:00:00+00:00
2025-12-09,3,LON_H1,-1.0,-1600.0,207661.5290774949,188000.0,2025-12-09 13:00:00+00:00
2025-12-11,3,LON_OPEN,1.5,2400.0,210061.5290774949,188000.0,2025-12-11 14:00:00+00:00
2025-12-15,3,NY_H1,-0.2149468674841178,-343.9149879745885,209717.6140895203,188000.0,2025-12-16 01:00:00+00:00
2025-12-17,3,LON_OPEN,1.5,2400.0,212117.6140895203,188000.0,2025-12-17 15:00:00+00:00
2025-12-18,3,LON_H1,-1.0,-1600.0,202400.0,200000.0,2025-12-18 13:00:00+00:00
2025-12-19,3,LON_H1,-0.2780500374118766,-444.8800598590026,201955.11994014098,200000.0,2025-12-19 20:00:00+00:00
2025-12-22,3,NY_H1,0.8391487204660628,1342.6379527457004,203297.75789288667,200000.0,2025-12-23 01:00:00+00:00
2025-12-23,3,LON_OPEN,0.4217951696885271,674.8722715016434,203972.6301643883,200000.0,2025-12-23 19:00:00+00:00
2025-12-26,3,LON_OPEN,-1.0,-1600.0,202372.6301643883,200000.0,2025-12-26 13:00:00+00:00
2025-12-31,3,LON_OPEN,-1.0,-1600.0,200772.6301643883,200000.0,2025-12-31 11:00:00+00:00
