regime,trades,win_rate,PF,EV_R,total_R,max_DD_R
FALL_REVERSE_0P25R,28,0.6785714285714286,0.5533640411617519,-0.13692360638575055,-3.833860978801015,4.833860978801015
RISE_1P5R,30,0.6,2.037954119538992,0.3185381151718541,9.556143455155622,2.0
COMBINED,58,0.6379310344827587,1.3216469111342946,0.09866004269576908,5.722282476354607,3.0
