slot,family,sl,rr,n_train,evc_train,evs_train,n_oos,evc_oos,evs_oos,n_2026,evc_2026,evs_2026,n_full,evc_full,evs_full,pf_full,days_full
LON_H1,DI_CONT_A20_G10,1.5,0.3,118,-0.008303284922514892,-0.018117645641875537,51,0.04824647436662457,0.03707559390287802,6,0.059663967069335966,0.04782928393733734,169,0.00876202705231417,-0.0014616976135771239,1.141040043111782,169
LON_H1,DI_CONT_A20_G10,1.5,0.4,118,-0.026099895092006387,-0.035914255811367056,51,0.10314843515093833,0.09197755468719175,6,0.1429973004026693,0.1311626172706707,169,0.012904038886633726,0.0026803142207424313,1.1281000342934628,169
LON_H1,DI_CONT_A20_G10,1.5,0.6,118,0.0708534670104568,0.06103910629109614,51,0.16981510181760498,0.15864422135385844,6,0.30966396706933597,0.2978292839373373,169,0.10071762899367903,0.09049390432778771,1.4095379647400594,169
LON_H1,DI_CONT_A20_G10,1.5,0.75,118,0.07311681532227152,0.06330245460291085,51,0.11001118024897752,0.098840299785231,6,0.14299730040266934,0.13116261727067066,169,0.08425061775577451,0.07402689308988318,1.2884906168566936,169
LON_H1,DI_CONT_A20_G10,1.5,1.0,118,0.05565371790910335,0.04583935718974267,51,0.21873531072540267,0.20756443026165614,6,0.309663967069336,0.2978292839373373,169,0.10486768970573805,0.09464396503984676,1.2993713036936032,169
LON_H1,DI_CONT_A20_G10,1.5,1.5,118,0.05009550474631345,0.040281144026952743,51,0.13245995654672352,0.12128907608297698,6,0.49280718098848825,0.4809724978564896,169,0.07495104937247266,0.06472732470658134,1.187782185074748,169
LON_H1,DI_CONT_A20_G10,2.0,0.3,118,-0.017032548437648874,-0.02439331897716937,51,0.13030250283379194,0.12192434248598205,6,0.0655813086353353,0.056705296286336325,169,0.027429508454916113,0.019761714955497632,1.219009125202554,169
LON_H1,DI_CONT_A20_G10,2.0,0.4,118,0.017439232741104423,0.010078462201583921,51,0.13618485577496847,0.12780669542715856,6,0.1489146419686687,0.14003862961966967,169,0.053273710698069306,0.04560591719865082,1.2972101548287645,169
LON_H1,DI_CONT_A20_G10,2.0,0.6,118,0.05345293028871048,0.046092159749189975,51,0.14402799302987035,0.1356498326820605,6,0.048914641968668626,0.04003862961966964,169,0.08078623324610193,0.07311843974668344,1.3168909156778754,169
LON_H1,DI_CONT_A20_G10,2.0,0.75,118,0.03951399718627574,0.03215322664675525,51,0.19578823335535425,0.18741007300754436,6,0.14891464196866863,0.14003862961966967,169,0.08667367792368995,0.07900588442427148,1.2943435536266135,169
LON_H1,DI_CONT_A20_G10,2.0,1.0,118,0.03571106870668214,0.028350298167161635,51,0.12353789605317889,0.11515973570536904,6,0.2624738265755136,0.2535978142265147,169,0.062215022521305396,0.05454722902188693,1.1854520615414723,169
LON_H1,DI_CONT_A20_G10,2.0,1.5,118,-0.026647262436930122,-0.0340080329764506,51,0.08890413817531495,0.08052597782750508,6,0.2639953782017348,0.25511936585273576,169,0.008223278576232604,0.0005554850768141249,1.0502411456264262,169
LON_H1,DI_CONT_A20_G10,2.25,0.3,118,-0.002197432950675622,-0.008740340096916072,51,0.15765451232284775,0.15020725868035004,6,0.06755375582400176,0.059663967069335966,169,0.04604191148097935,0.03922609503705181,1.3280745984074414,169
LON_H1,DI_CONT_A20_G10,2.25,0.4,118,0.03296392433062674,0.026421017184386296,51,0.16549764957774976,0.15805039593525205,6,0.15088708915733515,0.1429973004026693,169,0.07295930887265796,0.06614349242873038,1.398192615223379,169
LON_H1,DI_CONT_A20_G10,2.25,0.6,118,0.022385074100467865,0.015842166954227452,51,0.16897536098695826,0.16152810734446058,6,0.050887089157335065,0.042997300402669324,169,0.06662237961059218,0.05980656316666467,1.262036682891094,169
LON_H1,DI_CONT_A20_G10,2.25,0.75,118,0.013685659445239003,0.007142752298998571,51,0.16400713424575156,0.15655988060325382,6,0.1508870891573351,0.14299730040266934,169,0.05904894474006824,0.052233128296140685,1.2032394595855778,169
LON_H1,DI_CONT_A20_G10,2.25,1.0,118,0.01824238815910005,0.011699481012859643,51,0.07835321116173853,0.07090595751924088,6,0.21742700954788105,0.20953722079321527,169,0.03638234066285485,0.029566524218927345,1.1231422152985695,169
LON_H1,DI_CONT_A20_G10,2.25,1.5,118,-0.010814617689058734,-0.01735752483529916,51,0.09927146125077851,0.09182420760828085,6,-0.040429350325061446,-0.0483191390797272,169,0.02240662506793358,0.015590808624006032,1.082435795482732,169
LON_H1,DI_CONT_A20_G10,2.5,0.3,118,-0.00028277440137078287,-0.0061713908329871755,51,0.15914396305134726,0.15244143477309938,6,0.2857983802416016,0.2786975703624024,169,0.04782825287726011,0.041694018077725326,1.3311978548681946,169
LON_H1,DI_CONT_A20_G10,2.5,0.4,118,0.025478593793741386,0.019589977362125,51,0.186435604694905,0.179733076416657,6,0.1638307942916375,0.15672998441243835,169,0.07405141956864875,0.06791718476911394,1.4011971645233596,169
LON_H1,DI_CONT_A20_G10,2.5,0.6,118,0.00483332060411571,-0.0010552958275006823,51,0.2303575747590608,0.22365504648081289,6,0.0638307942916375,0.05672998441243828,169,0.07289093576330032,0.06675670096376554,1.2899144183108058,169
LON_H1,DI_CONT_A20_G10,2.5,0.75,118,0.004683139141349887,-0.001205477290266504,51,0.16065334115343052,0.1539508128751826,6,0.12967814197711347,0.12257733209791427,169,0.05175106992606062,0.04561683512652584,1.183347707656571,169
LON_H1,DI_CONT_A20_G10,2.5,1.0,118,-0.01737774224650813,-0.023266358678124488,51,0.07055126845848914,0.06384874018024121,6,0.2070500559764622,0.19994924609726303,169,0.009157047966242546,0.0030228131667077753,1.0545180156808764,169
LON_H1,DI_CONT_A20_G10,2.5,1.5,118,-0.024512868340214482,-0.030401484771830835,51,0.10412092617346548,0.09741839789521756,6,-0.05835400124251936,-0.0654548111217186,169,0.01430561402781913,0.008171379228284375,1.0647770588463452,169
LON_H1,DI_CONT_A20_G10,3.0,0.3,118,0.029470097630078244,0.02456291727039792,51,0.17089016354436626,0.16530472331249307,6,0.2881653168680013,0.28224797530200196,169,0.07214715894149061,0.06703529660854497,1.5302486871592285,169
LON_H1,DI_CONT_A20_G10,3.0,0.4,118,0.04047233401501702,0.03556515365533672,51,0.17704887540989098,0.1714634351780177,6,0.02775299168142839,0.02183565011542904,169,0.08168773999808548,0.07657587766513986,1.4745926480920608,169
LON_H1,DI_CONT_A20_G10,3.0,0.6,118,0.024534343353507827,0.019627162993827486,51,0.18541191144387364,0.17982647121200038,6,0.1610863250147617,0.15516898344876234,169,0.07308319526243479,0.0679713329294891,1.3120447245471842,169
LON_H1,DI_CONT_A20_G10,3.0,0.75,118,0.0009072613439833589,-0.00399991901569702,51,0.09280812314175414,0.08722268290988087,6,0.18599126530767118,0.18007392374167183,169,0.028640657507807667,0.023528795174861998,1.1252063658514588,169
LON_H1,DI_CONT_A20_G10,3.0,1.0,118,-0.016888712020754242,-0.021795892380434594,51,0.08783498566153507,0.08224954542966181,6,0.17114014917013912,0.1652228076041398,169,0.014714297338989863,0.0096024350060442,1.075756064388094,169
LON_H1,DI_CONT_A20_G10,3.0,1.5,118,-0.03680168485080934,-0.04170886521048967,51,0.11858944210151297,0.11300400186963973,6,-0.007401004597035704,-0.013318346163035039,169,0.01009149547208082,0.004979633139135169,1.059681495688823,169
LON_H1,DI_CONT_A20_G5,1.5,0.3,175,-0.04120983523451591,-0.051347328591523446,80,0.03367404271659189,0.022386064074887847,10,0.017466681411735786,0.006200022117603704,255,-0.0177168539165213,-0.028215283833433632,1.0144207156709026,255
