mode,trades,payouts,breaches,accounts_used,gross_requested,user_paid,ending_balance,ending_floor,ending_cycle_base,ending_cycle_profit,ending_profitable_days,ending_best_day,ending_consistency
custom,92,1,1,2,10981.059016364772,8784.847213091818,211170.902893051,188000.0,200000.0,11170.90289305101,10,2400.0,0.21484386919995052
official,92,1,1,2,10981.059016364772,8784.847213091818,211170.902893051,199170.902893051,200000.0,11170.90289305101,10,2400.0,0.21484386919995052
