symbol,hour,rank,entry_mode,filter,day_policy,atr_period,sl_atr,tp_atr,rr,expiry_h,hold_h,n,wr,pf,ev,sumR,ddR,trades_year,old_n,old_pf,old_ev,mid_n,mid_pf,mid_ev,recent_n,recent_pf,recent_ev,min_pf,min_ev,robust,data_start,data_end
EURUSD,1,1,breakout,adxdi_range,TueThu,20,1.0,5.0,5.0,1,8,108,0.4074074074074074,1.5735637803893217,0.3398896476381165,36.708081944916586,14.489883908588972,11.615866900604885,35,1.488620957841592,0.3071331735004292,30,1.7468629350331342,0.39832689868433824,43,1.5387928427642854,0.32578171888073065,1.488620957841592,0.3071331735004292,True,2012-11-16,2022-03-04
EURUSD,1,2,breakout,adxdi_range,TueThu,20,1.0,4.5,4.5,1,8,108,0.4074074074074074,1.5419262459990963,0.32114147911057567,34.68327974394217,14.489883908588972,11.615866900604885,35,1.451897793999784,0.2840500419427213,30,1.764557147754719,0.40776381213585017,43,1.4811005350719777,0.2908979979504981,1.451897793999784,0.2840500419427213,True,2012-11-16,2022-03-04
EURUSD,1,3,breakout,adxdi_range,TueThu,28,1.0,5.0,5.0,1,8,108,0.3888888888888889,1.5333021307407806,0.32590685767492145,35.197940628891516,17.449472954736112,11.615866900604885,35,1.4396310099832423,0.2763394919894666,30,1.8374608624737816,0.44664579331935017,43,1.433095878917131,0.28201592115534135,1.433095878917131,0.2763394919894666,True,2012-11-16,2022-03-04
EURUSD,1,4,breakout,adxdi_range,TueThu,28,1.0,4.5,4.5,1,8,108,0.3888888888888889,1.5506919069639171,0.33653394314461604,36.345665859618535,17.449472954736112,11.615866900604885,35,1.464349085158558,0.2918765678139507,30,1.9003131736349994,0.4801670259386662,43,1.418749114570367,0.27267384204582035,1.418749114570367,0.27267384204582035,True,2012-11-16,2022-03-04
EURUSD,1,5,breakout,adxdi_range,TueThu,28,1.0,5.0,5.0,1,12,108,0.3055555555555556,1.5420828861812401,0.3737984313351908,40.370230584200606,14.099510581200722,11.615866900604885,35,1.406530927684793,0.2958666054255194,30,1.4623525503335648,0.2928232818779245,43,1.7076733645989897,0.49372560320859754,1.406530927684793,0.2928232818779245,True,2012-11-16,2022-03-04
EURUSD,1,6,breakout,adxdi_range,TueThu,28,1.0,4.5,4.5,1,12,108,0.3055555555555556,1.5081540776377351,0.35040249736653606,37.8434697155859,14.599510581200722,11.615866900604885,35,1.385909767825192,0.28085886025261664,30,1.4097209713861965,0.2594899485445911,43,1.674290371680219,0.47043514303271106,1.385909767825192,0.2594899485445911,True,2012-11-16,2022-03-04
EURUSD,1,7,breakout,adxdi_range,TueThu,20,1.0,4.5,4.5,1,12,108,0.32407407407407407,1.5193320517006934,0.34813525043064747,37.598607046509926,11.34549882243278,11.615866900604885,35,1.3826028309300924,0.27763858591302376,30,1.3916203807558971,0.24802624114540142,43,1.7300167608997161,0.47535975128353614,1.3826028309300924,0.24802624114540142,True,2012-11-16,2022-03-04
EURUSD,1,8,breakout,adxdi_range,TueThu,28,1.0,4.5,4.5,1,24,108,0.28703703703703703,1.5276097370455681,0.3739203213845943,40.383394709536184,12.0,11.615866900604885,35,1.3816850390753102,0.2835374575988019,30,1.4908766361248225,0.32725109074988157,43,1.6758960268425862,0.48004769700189936,1.3816850390753102,0.2835374575988019,True,2012-11-16,2022-03-04
EURUSD,1,9,breakout,adxdi_range,TueThu,20,1.0,5.0,5.0,1,12,108,0.32407407407407407,1.5537372381501675,0.3711988340501769,40.089474077419105,10.84549882243278,11.615866900604885,35,1.4036090728277895,0.29288192136259633,30,1.381522142459426,0.24163069022430303,43,1.8067745043928265,0.5253415377441661,1.381522142459426,0.24163069022430303,True,2012-11-16,2022-03-04
EURUSD,1,10,breakout,adxdi_range,TueThu,20,1.0,4.5,4.5,1,24,108,0.3055555555555556,1.5261760995534028,0.36298061362260714,39.20190627124157,10.166528361723309,11.615866900604885,35,1.3738489234394202,0.2777163431264264,30,1.4616606840902246,0.3077737893934831,43,1.710393267994091,0.4708981530235384,1.3738489234394202,0.2777163431264264,True,2012-11-16,2022-03-04
EURUSD,1,11,breakout,adxdi_range,TueThu,28,1.0,4.0,4.0,1,8,108,0.3888888888888889,1.5124037708732734,0.31313563775588915,33.81864887763603,17.449472954736112,11.615866900604885,35,1.366750457371251,0.23052885891907202,30,1.8610776859031022,0.4592414324816545,43,1.4276034228935313,0.2784394381632296,1.366750457371251,0.23052885891907202,True,2012-11-16,2022-03-04
EURUSD,1,12,breakout,adxdi_range,TueThu,20,1.0,4.0,4.0,1,8,108,0.4074074074074074,1.5614344332172665,0.33270188635097275,35.931803725905056,14.489883908588972,11.615866900604885,35,1.362974117927851,0.22815515984036341,30,1.8322534695477672,0.44386851709214264,43,1.5627045237972332,0.3402399446215828,1.362974117927851,0.22815515984036341,True,2012-11-16,2022-03-04
EURUSD,1,13,breakout,adxdi_range,TueThu,20,1.0,3.375,3.375,1,24,108,0.3148148148148148,1.386088917512688,0.26276709783469776,28.37884656614736,12.033513738551207,11.615866900604885,35,1.35,0.25,30,1.4427125566022927,0.29514170440152854,43,1.3780109381525578,0.25057198683956994,1.35,0.25,True,2012-11-16,2022-03-04
EURUSD,1,14,breakout,adxdi_range,TueThu,28,1.25,0.5,0.4,1,4,108,0.7685185185185185,1.3935038679769043,0.08680708151545068,9.375164803668673,3.116666666666661,11.615866900604885,35,1.3500000000000003,0.08,30,1.4584264762008619,0.09639438234451138,43,1.3870402802101578,0.08565891472868216,1.3500000000000003,0.08,True,2012-11-16,2022-03-04
EURUSD,1,15,breakout,adxdi_range,TueThu,20,1.0,3.375,3.375,1,8,108,0.4074074074074074,1.4931843826911808,0.2922574119651441,31.56380049223556,14.489883908588974,11.615866900604885,35,1.3445191715511846,0.21655490783217307,30,1.7724315289339287,0.41196348209809536,43,1.4471336251987172,0.2703598663992242,1.3445191715511846,0.21655490783217307,True,2012-11-16,2022-03-04
EURUSD,1,16,breakout,adxdi_range,TueThu,20,1.0,3.0,3.0,1,8,108,0.4074074074074074,1.427997010669335,0.2536278581744206,27.39180868283742,14.489883908588974,11.615866900604885,35,1.3321120694691113,0.2087561579520128,30,1.6552440289339287,0.34946348209809536,43,1.3692861035220814,0.2232892718970724,1.3321120694691113,0.2087561579520128,True,2012-11-16,2022-03-04
EURUSD,1,17,breakout,adxdi_range,TueThu,28,1.0,5.0,5.0,1,24,108,0.28703703703703703,1.5474453756840392,0.3879779625799561,41.90161995863526,11.73887733887734,11.615866900604885,35,1.3240905460079255,0.24075297703445878,30,1.5380597347163716,0.3587064898109145,43,1.743741521123937,0.5282342108860876,1.3240905460079255,0.24075297703445878,True,2012-11-16,2022-03-04
EURUSD,1,18,breakout,adxdi_range,TueThu,28,1.25,0.5,0.4,1,8,108,0.7777777777777778,1.3999999999999997,0.08888888888888889,9.6,3.5999999999999943,11.615866900604885,35,1.3500000000000003,0.08,30,1.6000000000000003,0.12000000000000008,43,1.32,0.07441860465116279,1.32,0.07441860465116279,True,2012-11-16,2022-03-04
EURUSD,1,19,breakout,adxdi_range,TueThu,28,1.25,0.5,0.4,1,6,108,0.7777777777777778,1.3999999999999997,0.08888888888888889,9.6,3.5999999999999943,11.615866900604885,35,1.3500000000000003,0.08,30,1.6000000000000003,0.12000000000000008,43,1.32,0.07441860465116279,1.32,0.07441860465116279,True,2012-11-16,2022-03-04
EURUSD,1,20,breakout,adxdi_range,TueThu,28,1.25,0.5,0.4,1,24,108,0.7777777777777778,1.3999999999999997,0.08888888888888889,9.6,3.5999999999999943,11.615866900604885,35,1.3500000000000003,0.08,30,1.6000000000000003,0.12000000000000008,43,1.32,0.07441860465116279,1.32,0.07441860465116279,True,2012-11-16,2022-03-04
