buffer,account,start_date,first_payout_date,days_to_first_payout,breach_date,got_payout_before_breach
0.0,1,2012-01-01,2012-11-07,311.0,2012-11-13,True
0.0,2,2012-11-13,2013-02-19,98.0,2013-04-22,True
0.0,3,2013-04-22,2014-01-02,255.0,2014-02-27,True
0.0,4,2014-02-27,2014-04-08,40.0,2014-04-11,True
0.0,5,2014-04-11,,,2014-05-02,False
0.0,6,2014-05-02,2014-08-05,95.0,2014-08-13,True
0.0,7,2014-08-13,2014-12-16,125.0,2015-01-02,True
0.0,8,2015-01-02,2015-12-15,347.0,2015-12-18,True
0.0,9,2015-12-18,2016-06-03,168.0,2016-06-08,True
0.0,10,2016-06-08,2016-10-20,134.0,2016-10-25,True
0.0,11,2016-10-25,2017-04-11,168.0,2017-04-12,True
0.0,12,2017-04-12,2017-12-05,237.0,2017-12-08,True
0.0,13,2017-12-08,2018-01-15,38.0,2018-01-19,True
0.0,14,2018-01-19,2018-02-07,19.0,2018-02-12,True
0.0,15,2018-02-12,2018-04-02,49.0,2018-04-04,True
0.0,16,2018-04-04,,,2018-05-25,False
0.0,17,2018-05-25,,,2018-07-10,False
0.0,18,2018-07-10,,,2019-04-24,False
0.0,19,2019-04-24,,,2019-08-21,False
0.0,20,2019-08-21,2019-09-30,40.0,2019-11-18,True
0.0,21,2019-11-18,2020-09-28,315.0,2020-10-22,True
0.0,22,2020-10-22,2020-11-27,36.0,2020-11-30,True
0.0,23,2020-11-30,2021-03-11,101.0,2021-03-12,True
0.0,24,2021-03-12,2021-05-19,68.0,2021-05-21,True
0.0,25,2021-05-21,2021-07-19,59.0,2021-07-20,True
0.0,26,2021-07-20,,,2021-08-11,False
0.0,27,2021-08-11,2021-11-22,103.0,2022-02-11,True
0.0,28,2022-02-11,2022-06-22,131.0,2022-06-23,True
0.0,29,2022-06-23,2022-07-28,35.0,2022-08-23,True
0.0,30,2022-08-23,2022-12-09,108.0,2022-12-13,True
0.0,31,2022-12-13,,,2023-02-14,False
0.0,32,2023-02-14,2023-06-01,107.0,2023-06-14,True
0.0,33,2023-06-14,2023-07-27,43.0,2023-07-28,True
0.0,34,2023-07-28,2023-11-30,125.0,2023-12-05,True
0.0,35,2023-12-05,2024-07-10,218.0,2024-07-15,True
0.0,36,2024-07-15,2025-04-03,262.0,2025-04-09,True
0.0,37,2025-04-09,2025-09-25,169.0,2025-09-29,True
0.0,38,2025-09-29,2026-05-14,227.0,2026-05-15,True
0.0,39,2026-05-15,2026-08-07,84.0,,True
