method,period,trades,gross_ev_r,gross_ev_usd,avg_stop_pips,median_stop_pips,avg_lots,avg_commission_usd,commission_cost_r,ev_after_commission_r,ev_after_commission_usd,extra_0.1pip_usd,ev_after_comm_plus_0.1pip_usd,ev_after_comm_plus_0.1pip_r,extra_0.2pip_usd,ev_after_comm_plus_0.2pip_usd,ev_after_comm_plus_0.2pip_r,extra_0.3pip_usd,ev_after_comm_plus_0.3pip_usd,ev_after_comm_plus_0.3pip_r,extra_0.5pip_usd,ev_after_comm_plus_0.5pip_usd,ev_after_comm_plus_0.5pip_r
2_WINDOWS_LONDON,2012_2026,5029,0.005505226905166856,14.864112643950511,30.421943445820038,28.268083517068163,10.005772030330636,40.023088121322544,0.014823365970860201,-0.009318139065693346,-25.158975477372035,10.005772030330636,-35.16474750770267,-0.013023980558408397,20.011544060661272,-45.170519538033304,-0.016729822051123444,30.017316090991912,-55.17629156836394,-0.0204356635438385,50.02886015165318,-75.18783562902522,-0.0278473465292686
3_WINDOWS_FIRST2,2012_2026,6373,0.002922007665134998,7.889420695864495,31.564672209935367,29.377244171022042,9.68075689673643,38.72302758694572,0.014341862069239155,-0.011419854404104157,-30.83360689108122,9.68075689673643,-40.51436378781766,-0.015005319921413946,19.36151379347286,-50.195120684554084,-0.018590785438723736,29.04227069020929,-59.87587758129051,-0.02217625095603352,48.40378448368215,-79.23739137476338,-0.0293471819906531
2_WINDOWS_LONDON,2026_YTD,202,0.04587389084135938,123.85950527167032,25.590416792718035,23.691272806437507,11.390829388782878,45.56331755513151,0.016875302798196858,0.02899858804316252,78.29618771653881,11.390829388782878,66.90535832775593,0.024779762343613308,22.781658777565756,55.51452893897306,0.020560936644064096,34.17248816634863,44.12369955019018,0.016342110944514883,56.95414694391439,21.342040772624422,0.007904459545416452
3_WINDOWS_FIRST2,2026_YTD,262,0.01322673736036592,35.71219087298798,26.244188304069887,24.06069404961797,11.145211600862174,44.580846403448696,0.016511424593869888,-0.0032846872335039676,-8.868655530460712,11.145211600862174,-20.01386713132289,-0.00741254338197144,22.290423201724348,-31.159078732185062,-0.011540399530438911,33.43563480258652,-42.304290333047234,-0.01566825567890638,55.726058004310865,-64.59471353477159,-0.02392396797584133
