mode,trades,payouts,breaches,accounts_used,gross_paid,user_paid,ending_balance,ending_floor,ending_cycle_profit,ending_profitable_days,ending_best_day,ending_consistency
custom,92,1,1,2,16226.323770455929,12981.059016364743,211134.0614131968,188000.0,11134.061413196789,11,3000.0,0.26944345721357454
official,92,1,1,2,16226.323770455929,12981.059016364743,211134.0614131968,199134.0614131968,11134.061413196789,11,3000.0,0.26944345721357454
