mode,account,date,gross_requested,user_payout,profitable_days,best_day,consistency,balance_before,floor_before,balance_after
custom,1,2025-04-02,8693.66954644234,6954.9356371538715,13,2400.0,0.18907062226719532,212693.66954644234,188000.0,204000.0
custom,2,2025-09-08,9559.252515823813,7647.402012659051,13,2400.0,0.1770009074762175,213559.2525158238,188000.0,204000.0
custom,3,2025-12-17,8117.614089520299,6494.091271616239,10,2400.0,0.1980587912991549,212117.6140895203,188000.0,204000.0
official,1,2025-04-02,8693.66954644234,6954.9356371538715,13,2400.0,0.18907062226719532,212693.66954644234,200000.0,204000.0
official,2,2025-09-08,9559.252515823813,7647.402012659051,13,2400.0,0.1770009074762175,213559.2525158238,200000.0,204000.0
official,3,2025-12-17,8117.614089520299,6494.091271616239,10,2400.0,0.1980587912991549,212117.6140895203,200000.0,204000.0
