mode,account,date,gross_requested,user_payout,profitable_days,best_day,consistency,balance_before,floor_before,balance_after
custom,1,2026-06-03,10981.059016364772,8784.847213091818,21,2400.0,0.18488476148012292,212981.05901636477,188000.0,202000.0
official,1,2026-06-03,10981.059016364772,8784.847213091818,21,2400.0,0.18488476148012292,212981.05901636477,200000.0,202000.0
