scope,entry_mode,filter,day_policy,atr_period,sl_atr,tp_atr,rr,expiry_h,hold_h,positive_units,min_pf,min_ev,min_subperiod_pf,median_pf,median_ev,avg_pf,avg_ev,EURUSD_H1_pf,EURUSD_H1_ev,EURUSD_H1_n,GBPUSD_H1_pf,GBPUSD_H1_ev,GBPUSD_H1_n,AUDUSD_H1_pf,AUDUSD_H1_ev,AUDUSD_H1_n,USDCHF_H1_pf,USDCHF_H1_ev,USDCHF_H1_n,USDJPY_H1_pf,USDJPY_H1_ev,USDJPY_H1_n,EURGBP_H1_pf,EURGBP_H1_ev,EURGBP_H1_n,XAUUSD_H1_pf,XAUUSD_H1_ev,XAUUSD_H1_n,rank,EURUSD_H2_pf,EURUSD_H2_ev,EURUSD_H2_n,GBPUSD_H2_pf,GBPUSD_H2_ev,GBPUSD_H2_n,AUDUSD_H2_pf,AUDUSD_H2_ev,AUDUSD_H2_n,USDCHF_H2_pf,USDCHF_H2_ev,USDCHF_H2_n,USDJPY_H2_pf,USDJPY_H2_ev,USDJPY_H2_n,EURGBP_H2_pf,EURGBP_H2_ev,EURGBP_H2_n,XAUUSD_H2_pf,XAUUSD_H2_ev,XAUUSD_H2_n
H1,breakout,di,TueFri,7,2.25,5.0,2.2222222222222223,1,24,7,1.0316049682656554,0.019479696503656916,0.8649893806375145,1.0490947498160517,0.03155943681619949,1.0560788700017303,0.033393274077616546,1.0373298807334201,0.024184953114892657,651.0,1.0423286735226507,0.02724695696611956,669.0,1.0664034940662737,0.03439390656713611,649.0,1.0490947498160517,0.03155943681619949,676.0,1.0984196650490756,0.053793115521939806,636.0,1.0673706585589864,0.0430948530533713,685.0,1.0316049682656554,0.019479696503656916,664.0,1,,,,,,,,,,,,,,,,,,,,,
H2,breakout,adxrise_atr,MonFri,28,1.5,5.0,3.3333333333333335,1,4,7,1.217043835489623,0.07664848360728092,0.6976367153276813,1.2507363805759382,0.11834142315652467,1.3607504014595306,0.1350601724272786,,,,,,,,,,,,,,,,,,,,,,1,1.2253172044503933,0.09830175017659008,156.0,1.2211466555262855,0.09980081959782482,129.0,1.217043835489623,0.07664848360728092,200.0,1.7676756317399436,0.2618145729853999,115.0,1.4221727391404602,0.15008267426780106,218.0,1.2507363805759382,0.11834142315652467,151.0,1.4211603632940715,0.14043148319952878,131.0
BOTH,breakout,di,TueFri,7,2.25,4.5,2.0,1,24,14,1.0294319750884875,0.018570919747561615,0.8635547685424421,1.0688080228288925,0.03944860102478179,1.0760802543169983,0.044844640319797756,1.050497754751207,0.031928767175229134,651.0,1.0294319750884875,0.018570919747561615,669.0,1.0581235956710282,0.02992618876037861,649.0,1.0419148018113775,0.0264295949129146,676.0,1.086504728598836,0.04696843487433444,636.0,1.0339703277619003,0.021427748718862456,685.0,1.0794924499867569,0.047706176889508914,664.0,1,1.1437571952060326,0.0873674790367251,752.0,1.079543161300896,0.04967114091129644,745.0,1.057809807620298,0.029366164350357864,717.0,1.0426885947331765,0.026815291107864417,744.0,1.1044276929580097,0.05537146939607937,713.0,1.1272049609188337,0.07890927873429715,788.0,1.1297565140311319,0.07736630986175852,733.0
