buffer,account,date,year,balance,floor,pnl,window
0.0,1,2020-11-02,2020,198400.0,200000.0,-1600.0,LON_OPEN
0.0,2,2021-03-02,2021,199430.89386700405,200000.0,-1600.0,LON_OPEN
0.0,3,2021-04-05,2021,199377.24512660695,200000.0,-1600.0,LON_OPEN
0.0,4,2021-07-28,2021,198955.3063002712,200000.0,-1600.0,LON_H1
0.0,5,2021-12-06,2021,198400.0,200000.0,-1600.0,LON_OPEN
0.0,6,2022-07-25,2022,198400.0,200000.0,-1600.0,LON_OPEN
0.0,7,2022-08-30,2022,199667.10208912837,200000.0,-1600.0,LON_H1
0.0,8,2022-11-10,2022,199210.5616076064,200000.0,-1600.0,LON_OPEN
0.0,9,2023-02-20,2023,187354.8111061876,188000.0,-1600.0,LON_OPEN
0.0,10,2023-05-17,2023,199945.90348313312,200000.0,-562.6475230019795,LON_H1
0.0,11,2023-07-07,2023,199200.0,200000.0,-1600.0,LON_H1
0.0,12,2023-11-27,2023,199271.25777970825,200000.0,-728.7422202917488,LON_OPEN
0.0,13,2024-02-02,2024,199372.1770924043,200000.0,-1600.0,LON_OPEN
0.0,14,2024-05-08,2024,187467.0845961483,188000.0,-538.6962332829113,NY_H1
0.0,15,2024-06-27,2024,198400.0,200000.0,-1600.0,NY_H1
0.0,16,2025-03-18,2025,198400.0,200000.0,-1600.0,LON_OPEN
0.0,17,2025-09-10,2025,198400.0,200000.0,-1600.0,LON_OPEN
0.0,18,2026-04-27,2026,199122.95541142116,200000.0,-1600.0,LON_H1
4000.0,1,2021-08-03,2021,199108.0668671153,200000.0,-1600.0,LON_H1
4000.0,2,2022-04-12,2022,199200.0,200000.0,-1600.0,LON_OPEN
4000.0,3,2022-08-30,2022,199866.7885650864,200000.0,-1600.0,LON_H1
4000.0,4,2023-01-27,2023,198873.4402829997,200000.0,-1600.0,LON_OPEN
4000.0,5,2024-02-15,2024,199782.1998268132,200000.0,-1600.0,LON_H1
4000.0,6,2024-08-13,2024,199959.46382639787,200000.0,-1600.0,LON_H1
4000.0,7,2025-05-05,2025,199063.596733757,200000.0,-1600.0,NY_H1
4000.0,8,2025-10-06,2025,198400.0,200000.0,-1600.0,LON_OPEN
4000.0,9,2026-03-02,2026,199048.11573187725,200000.0,-1600.0,LON_OPEN
