scope,entry_mode,filter,day_policy,atr_period,sl_atr,tp_atr,rr,expiry_h,hold_h,positive_units,min_pf,min_ev,min_subperiod_pf,median_pf,median_ev,avg_pf,avg_ev,EURUSD_H1_pf,EURUSD_H1_ev,EURUSD_H1_n,GBPUSD_H1_pf,GBPUSD_H1_ev,GBPUSD_H1_n,AUDUSD_H1_pf,AUDUSD_H1_ev,AUDUSD_H1_n,USDCHF_H1_pf,USDCHF_H1_ev,USDCHF_H1_n,USDJPY_H1_pf,USDJPY_H1_ev,USDJPY_H1_n,EURGBP_H1_pf,EURGBP_H1_ev,EURGBP_H1_n,XAUUSD_H1_pf,XAUUSD_H1_ev,XAUUSD_H1_n,rank,EURUSD_H2_pf,EURUSD_H2_ev,EURUSD_H2_n,GBPUSD_H2_pf,GBPUSD_H2_ev,GBPUSD_H2_n,AUDUSD_H2_pf,AUDUSD_H2_ev,AUDUSD_H2_n,USDCHF_H2_pf,USDCHF_H2_ev,USDCHF_H2_n,USDJPY_H2_pf,USDJPY_H2_ev,USDJPY_H2_n,EURGBP_H2_pf,EURGBP_H2_ev,EURGBP_H2_n,XAUUSD_H2_pf,XAUUSD_H2_ev,XAUUSD_H2_n
H1,breakout,di,TueFri,7,2.25,5.0,2.2222222222222223,1,24,7,1.0316049682656554,0.019479696503656916,0.8649893806375145,1.0490947498160517,0.03155943681619949,1.0560788700017303,0.033393274077616546,1.0373298807334201,0.024184953114892657,651.0,1.0423286735226507,0.02724695696611956,669.0,1.0664034940662737,0.03439390656713611,649.0,1.0490947498160517,0.03155943681619949,676.0,1.0984196650490756,0.053793115521939806,636.0,1.0673706585589864,0.0430948530533713,685.0,1.0316049682656554,0.019479696503656916,664.0,1,,,,,,,,,,,,,,,,,,,,,
H1,breakout,adxrise_range,TueThu,20,1.75,4.0,2.2857142857142856,1,12,7,1.0306500980311613,0.017314311968361657,0.6921444672178936,1.0617664785155092,0.03648797706171465,1.0971517978867233,0.050803121460838284,1.0567106938297774,0.0334052672219914,163.0,1.0393928419319203,0.022601722391695736,165.0,1.2901687031069944,0.13586398204321215,168.0,1.0617664785155092,0.03648797706171465,175.0,1.1337543593630217,0.07052996287848286,165.0,1.0676194104286778,0.039418626660409566,158.0,1.0306500980311613,0.017314311968361657,199.0,2,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,7,2.25,4.5,2.0,1,24,7,1.0294319750884875,0.018570919747561615,0.9129244679756658,1.050497754751207,0.02992618876037861,1.0542765190956562,0.0318511187255414,1.050497754751207,0.031928767175229134,651.0,1.0294319750884875,0.018570919747561615,669.0,1.0581235956710282,0.02992618876037861,649.0,1.0419148018113775,0.0264295949129146,676.0,1.086504728598836,0.04696843487433444,636.0,1.0339703277619003,0.021427748718862456,685.0,1.0794924499867569,0.047706176889508914,664.0,3,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,28,2.25,4.0,1.7777777777777777,1,10,7,1.0290620388543419,0.011360205440005676,0.8670960822269577,1.0529890577202643,0.02578140322730206,1.0907587630828155,0.03916911863921741,1.031786061696418,0.015193730642060572,651.0,1.0358410638693356,0.017896202591672287,669.0,1.0290620388543419,0.011360205440005676,649.0,1.1012155767295442,0.04706630000459523,676.0,1.1846985028458004,0.07399344382373603,636.0,1.0529890577202643,0.02578140322730206,685.0,1.1997190398640043,0.08289254474515004,664.0,4,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,20,2.25,5.0,2.2222222222222223,1,10,7,1.028302177955075,0.011192511858225274,0.8748547538327301,1.062458808683109,0.030488163174349544,1.0973848319186223,0.04250116948253356,1.041254346584192,0.019383084469685938,651.0,1.0573745739314309,0.02870502155462608,669.0,1.028302177955075,0.011192511858225274,649.0,1.1248062963753669,0.05698087718384302,676.0,1.1746864955603633,0.07177444336717768,636.0,1.062458808683109,0.030488163174349544,685.0,1.1928111243408188,0.07898408476982736,664.0,5,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,20,2.25,4.0,1.7777777777777777,1,10,7,1.0257412123319867,0.010166381490769729,0.8728251002459815,1.0516752357276504,0.024181619976305455,1.0814671136270635,0.03507636953930504,1.0516752357276504,0.024181619976305455,651.0,1.0316906365753735,0.01563134567453367,669.0,1.0257412123319867,0.010166381490769729,649.0,1.0860151237412123,0.03914335115631282,676.0,1.1436959919738041,0.058929623357516274,636.0,1.0468752559647192,0.02246582743503601,685.0,1.1845763390746964,0.07501643768466135,664.0,6,,,,,,,,,,,,,,,,,,,,,
H1,breakout,adxrise_range,TueThu,20,1.75,5.0,2.857142857142857,1,12,7,1.0251212081695014,0.01420631080725726,0.7551690995124224,1.0988200564771282,0.058232436537448355,1.1462715420760419,0.07828597127752099,1.0798766917581182,0.04705113009193206,163.0,1.0936527854069589,0.054868659512276,165.0,1.3521595271696956,0.1648895803145502,168.0,1.1536138109963925,0.0916237341547404,175.0,1.2206567145544989,0.11712994752444254,165.0,1.0988200564771282,0.058232436537448355,158.0,1.0251212081695014,0.01420631080725726,199.0,7,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,7,2.5,5.0,2.0,1,24,7,1.0236062936588068,0.014693877581922648,0.8755943799065421,1.0578542100017863,0.03539212306529744,1.058000630222388,0.03292564328894966,1.0236062936588068,0.014693877581922648,651.0,1.038308123274716,0.02358674575339862,669.0,1.0532049488934754,0.025729491294085145,649.0,1.0748394565671664,0.045473384958241055,676.0,1.094720429921529,0.048828859531400315,636.0,1.0578542100017863,0.03539212306529744,685.0,1.0634709492392354,0.0367750208383024,664.0,8,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,20,2.25,4.0,1.7777777777777777,1,16,7,1.0225934119422795,0.010382665098281436,0.8422882140792938,1.0440055345884884,0.020789243796834146,1.0432457995638826,0.0214950699528342,1.027943204193188,0.014642675109128282,651.0,1.0230812630858472,0.012326301380134248,669.0,1.0225934119422795,0.010382665098281436,649.0,1.0487047385011845,0.024546749359830543,676.0,1.0440055345884884,0.020789243796834146,636.0,1.0637294660044632,0.03239712379272762,685.0,1.0726629786317283,0.03538073113290311,664.0,9,,,,,,,,,,,,,,,,,,,,,
H1,next_open,di,TueFri,20,2.25,4.0,1.7777777777777777,0,24,7,1.0223523005493895,0.011867230920058907,0.8760376356478901,1.0584948416206934,0.031098707373751932,1.0539228988754024,0.02773238283566312,1.0223523005493895,0.012051589284670193,1001.0,1.0584948416206934,0.031098707373751932,987.0,1.0231554696583136,0.011867230920058907,1022.0,1.0299915740182244,0.015620720776358692,1027.0,1.0931866447386258,0.04664765246154241,994.0,1.0707224537106332,0.03619263024789854,980.0,1.0795570078319352,0.040648148785361174,1069.0,10,,,,,,,,,,,,,,,,,,,,,
