symbol,trades,ev,pf,wr,sumR
EURUSD,33,0.10900405032732441,1.3449910673211636,0.48484848484848486,3.5971336608017057
GBPUSD,34,-0.20301589556972255,0.5443299095919995,0.4117647058823529,-6.902540449370567
AUDUSD,25,-0.21256267743077942,0.5101444118579488,0.48,-5.314066935769485
USDCHF,36,-0.17775786659974957,0.5773106094358778,0.3333333333333333,-6.399283197590985
USDJPY,26,-0.1801480386719385,0.5057365954528691,0.38461538461538464,-4.6838490054704005
EURGBP,34,-0.04011032613401491,0.906234477817135,0.4411764705882353,-1.363751088556507
XAUUSD,19,0.24124706354782638,1.954186484077478,0.42105263157894735,4.583694207408701
ALL,207,-0.07962639037945671,0.7949585937479795,0.42028985507246375,-16.482662808547538
