variant,period,trades,win_rate,PF,EV_R,EV_after_comm_R,EV_after_comm_0p2_R,total_R,max_DD_R,positive_years,years
RISE_BASE,FULL,932,0.4989270386266094,1.345935217277768,0.15426911357025538,0.1392008941049149,0.13166678437224472,143.778813847478,17.470959580200656,13,15
RISE_BASE,RECENT,284,0.5492957746478874,1.6537896777338443,0.2581098605237545,0.24284693417567849,0.23521547100164047,73.30320038874628,6.0,5,5
RISE_BASE,YTD2026,30,0.6,2.037954119538992,0.3185381151718541,0.30181089834909797,0.2934472899377199,9.556143455155622,2.0,1,1
FALL_ADX20_SAME,FULL,814,0.44471744471744473,1.0220235939880256,0.010716992533254343,-0.004247809311544707,-0.01173021023394423,8.723631922069035,17.59706472840689,8,15
FALL_ADX20_SAME,RECENT,251,0.450199203187251,1.0670026583959729,0.032635429935658995,0.016906526083970752,0.009042074158126646,8.191492913850407,12.756587679092023,4,5
FALL_ADX20_SAME,YTD2026,35,0.42857142857142855,1.1697879858718536,0.07980246520487026,0.06291759865493082,0.054475165379961124,2.793086282170459,3.9532726115224652,1,1
FALL_ADX25_SAME,FULL,590,0.4423728813559322,1.0089835535341618,0.004328120664392663,-0.010497244886059465,-0.017909927661285532,2.553591191991671,19.036764795987246,7,15
FALL_ADX25_SAME,RECENT,169,0.4378698224852071,1.007023391590601,0.003467697882614321,-0.012076531312151691,-0.01984864590953468,0.5860409421618202,13.252303910518759,2,5
FALL_ADX25_SAME,YTD2026,22,0.45454545454545453,1.4492959016234743,0.20080485683872465,0.18457254499744968,0.17645638907681221,4.417706850451943,3.002961273574834,1,1
FALL_ADX30_SAME,FULL,407,0.4398034398034398,1.024290844344536,0.011486285438695476,-0.003248785261778151,-0.01061632061201495,4.674918173549059,15.996964498472204,9,15
FALL_ADX30_SAME,RECENT,106,0.4056603773584906,0.9368304114668741,-0.032321847353095436,-0.047857020354387755,-0.05562460685503389,-3.426115819428116,13.20945223756431,3,5
FALL_ADX30_SAME,YTD2026,15,0.3333333333333333,0.8661443365209135,-0.0772709915859703,-0.09271609932159647,-0.10043865318940952,-1.1590648737895544,4.329515246443384,0,1
FALL_ADX35_SAME,FULL,273,0.4468864468864469,1.0811858867740758,0.03687851691165164,0.022054261191897996,0.014642133332021183,10.067835116880898,10.745917584271924,9,15
FALL_ADX35_SAME,RECENT,68,0.47058823529411764,1.225419411571717,0.10450265833190743,0.08860265780638388,0.08065265754362214,7.106180766569706,7.4923292003418105,4,5
FALL_ADX35_SAME,YTD2026,9,0.5555555555555556,2.252580164037862,0.46338719483962404,0.4483950874748074,0.44089903379239914,4.170484753556616,1.3295152464433835,1,1
FALL_AGREE_ADX20,FULL,359,0.4428969359331476,1.0383225108961611,0.019059458653562643,0.003860737958883721,-0.0037386223884557654,6.842345656628989,28.456218295990865,8,15
FALL_AGREE_ADX20,RECENT,124,0.49193548387096775,1.3194890923705795,0.14281426523912633,0.1268415528750303,0.11885519669298228,17.708968889651665,5.272275838061363,4,5
FALL_AGREE_ADX20,YTD2026,16,0.375,0.8923063633925078,-0.04898034012943986,-0.06691843521530377,-0.07588748275823572,-0.7836854420710377,4.203490362895412,0,1
FALL_AGREE_ADX25,FULL,224,0.4375,1.0184498064060366,0.009265222086927895,-0.005801458865525648,-0.013334799341752397,2.0754097474718485,18.02617269732652,8,15
FALL_AGREE_ADX25,RECENT,69,0.5217391304347826,1.4178797386252184,0.17501156469065252,0.15959186309618523,0.15188201229895162,12.075797963655024,4.772275838061363,4,5
FALL_AGREE_ADX25,YTD2026,5,0.6,6.827855919745002,0.7681870252420891,0.7517277423377481,0.7434981008855777,3.8409351262104456,0.32954962734617066,1,1
FALL_AGREE_ADX30,FULL,139,0.43884892086330934,1.048867524052564,0.02368854096762669,0.008626262871180401,0.001095123822957262,3.2927071945001103,11.688999672729507,8,15
FALL_AGREE_ADX30,RECENT,38,0.5526315789473685,1.7696775087894778,0.28195398010425027,0.2664448059312504,0.2586902188447506,10.71425124396151,2.925362845893698,4,5
FALL_AGREE_ADX30,YTD2026,5,0.6,6.827855919745002,0.7681870252420891,0.7517277423377481,0.7434981008855777,3.8409351262104456,0.32954962734617066,1,1
FALL_AGREE_GAP3,FULL,386,0.44041450777202074,1.032524467936225,0.016378090385274865,0.0008773232272207981,-0.006873060351806245,6.321942888716098,30.720986409631095,9,15
