mode,account,date,gross_profit,user_payout,profitable_days,best_day,consistency,balance_before,floor_before
custom,1,2026-06-03,16226.323770455929,12981.059016364743,24,3000.0,0.18488476148012334,216226.32377045593,188000.0
official,1,2026-06-03,16226.323770455929,12981.059016364743,24,3000.0,0.18488476148012334,216226.32377045593,200000.0
